Politician,VideoId
Barrack Obama,PF2prUcfeYU
Barrack Obama,V1I0Y7qIdA0
Barrack Obama,7hZgg_KjvDQ
Barrack Obama,MxBdzH66wZo
Barrack Obama,a6aL5TVVRFI
Barrack Obama,Lq_wMv_MeQc
Barrack Obama,OAhb06Z8N1c
Barrack Obama,znZkxN0Ks0M
Barrack Obama,QQHLA3_99OE
Barrack Obama,oi86E5GgawY
Barrack Obama,f-nrjvsETQU
Barrack Obama,vGpjFh5Izkc
Barrack Obama,xKSKjIsOkPA
Barrack Obama,Xdemy-YYxUs
Barrack Obama,sgZAuqYUdWM
Barrack Obama,xXH5agV7skw
Barrack Obama,hUZzq7aiDlc
Barrack Obama,nqoeuIlaxRc
Barrack Obama,jkfiF_tugU0
Barrack Obama,-hKSCr-M1ZE
Barrack Obama,td7Dcsco-WY
Barrack Obama,mqaODYJ702s
Barrack Obama,m_IOpjrd760
Barrack Obama,rI7GRUhWtuI
Barrack Obama,kqWQLr3Rj6U
Barrack Obama,J4uParFjTpY
Barrack Obama,R1OsMDOhV30
Barrack Obama,Sjpyrfj4AWk
Barrack Obama,1Z9tiSqHzkg
Barrack Obama,l-5vD5YVLv8
Barrack Obama,A3WCQP5IA1Y
Barrack Obama,SVtQ6i1jbsk
Barrack Obama,UKopXxCPCJg
Barrack Obama,-IPcuuhi2Jo
Barrack Obama,gF2XX-dJ5mI
Barrack Obama,jAYVKZSWXhY
Barrack Obama,V03ZTv5XhA8
Barrack Obama,GHYjknhJy0I
Barrack Obama,yVZaUtnvJKs
Barrack Obama,lX16OrIVfeQ
Barrack Obama,EOKvxqJpGrY
Barrack Obama,ZdhyM5jHu0s
Barrack Obama,nnRNszsza_8
Barrack Obama,D2XAo0hNk1Y
Barrack Obama,k5-MgZD5IMc
Barrack Obama,qxHcwt3qBCk
Barrack Obama,c652tFad9eM
Barrack Obama,puGGm-znSlU
Barrack Obama,rJ-xA6D4Ju8
Barrack Obama,GfG8Btb0l3g
Barrack Obama,3dZ2sYvpjCg
Barrack Obama,mAFv55o47ok
Barrack Obama,42gbXMCbtAE
Barrack Obama,HOL_PpoRRL0
