videoId,title,description,channelTitle,publishedAt,videoId
f3hn4fviImM,Marjorie Taylor Greene Says She &#39;Laughed And Laughed&#39; With Trump After He Lied To America,"Majorie Taylor Greene boasted on Twitter that she and Donald Trump ""laughed and laughed"" after his disastrous town hall on ...",The Ring of Fire,2023-05-12T20:00:14Z,f3hn4fviImM
pIDUba5TqLI,Marjorie Taylor Greene and Jamaal Bowman Get Into Shouting Match Outside Congress,Marjorie Taylor Greene and Jamaal Bowman argue outside of Congress. Ana Kasparian and Cenk Uygur discuss on The Young ...,The Young Turks,2023-05-19T03:30:30Z,pIDUba5TqLI
qPMKKqlwhQE,"Rep. Taylor Greene warns Biden wants to &#39;address&#39; issues like education, medical care","While speaking at the conservative Turning Point Action conference, Rep. Marjorie Taylor Greene, R-Ga., warned that President ...",MSNBC,2023-07-17T13:00:43Z,qPMKKqlwhQE
c3FQ6xK_pvk,Rep. Marjorie Taylor Greene says she has Trump&#39;s support amid calls to remove her,"In the latest sign of rising tensions within the U.S. Congress, some lawmakers are calling for an outspoken conservative ...",NewsNation,2021-01-31T02:33:54Z,c3FQ6xK_pvk
wQF19ljDD24,MTG Waves Around Classified Information On Fox News,Right-winger Marjorie Taylor Greene said she read a document inside a SCIF ― a sensitive compartmented information facility ...,The Young Turks,2023-06-10T03:00:25Z,wQF19ljDD24
MtC_7r2Dud0,Marjorie Greene Taunts AOC For Having A Real Job,Conservative Rep. Marjorie Greene was caught on camera trying her best to do an impression of a stand-up comic by mocking ...,The Young Turks,2022-02-23T06:00:06Z,MtC_7r2Dud0
