videoId,title,description,channelTitle,publishedAt,videoId
G3W9SthxzsI,Bernie Sanders on FDR | Bernie Sanders,Join the political revolution at www.berniesanders.com ☆ Connect with Bernie: Facebook ...,Bernie Sanders,2016-04-14T17:14:22Z,G3W9SthxzsI
kWyK397cXXg,Candidate Committee Press Conference | Bernie Sanders,"Bernie Sanders addresses the issues relevant to the working class in Columbia, South Carolina. --------- ☆ Join the political ...",Bernie Sanders,2015-11-07T21:47:47Z,kWyK397cXXg
1PjNlBV-_s8,The case for Bernie Sanders,"To understand Bernie's future, look at what he's already done. Up next: The case for Joe Biden: http://bit.ly/2TibqRm This video is ...",Vox,2020-02-27T13:00:00Z,1PjNlBV-_s8
o8BJ4FajZzg,Diplomacy in Ukraine,We must vigorously support diplomatic efforts to deescalate this crisis and reaffirm Ukrainian independence and sovereignty.,Senator Bernie Sanders,2022-02-10T19:51:11Z,o8BJ4FajZzg
g8QZjCOgeBo,Bernie Sanders&#39; Iowa Caucus Speech,Senator Bernie Sanders' speaks after virtually tying Hillary Clinton in the 2016 Iowa Democratic Presidential Nomination Caucus.,TDC,2016-02-02T06:10:08Z,g8QZjCOgeBo
vqDsQDh1EIE,Paid Family &amp; Medical Leave | Bernie Sanders,"Bernie Sanders gives an in-depth discussion of instituting paid family and medical leave for all Americans. ""The strength of a very ...",Bernie Sanders,2016-01-08T18:42:44Z,vqDsQDh1EIE
mKDl9JdLJ2A,"Voter Suppression, National Federation of Democratic Women | Bernie Sanders","Bernie speaks about voter suppression at Winthrop University in Rock Hill, South Carolina to the National Federation of ...",Bernie Sanders,2015-11-07T16:16:30Z,mKDl9JdLJ2A
9P3IVsst-aI,"We Listen to the Pain of Americans, Not Billionaires | Bernie Sanders",,Bernie Sanders,2016-02-27T01:10:27Z,9P3IVsst-aI
bRWnzDkHRbo,Communications Workers of America Endorsement | Bernie Sanders,The Communications Workers of America union executive board unanimously voted to endorse Bernie Sanders after receiving a ...,Bernie Sanders,2015-12-17T21:16:32Z,bRWnzDkHRbo
