videoId,title,description,channelTitle,publishedAt,videoId
yGUplphAHDc,"Ocasio-Cortez: When you know your community, it gives you an edge to win","CNN's Erin Burnett sits down with Alexandria Ocasio-Cortez, a 28-year-old Democrat who ousted incumbent Rep. Joe Crowley.",CNN,2018-06-27T23:49:09Z,yGUplphAHDc
wL5ucB3AbUs,Alexandria Ocasio-Cortez Stuns Crowd With Speech,JOIN THE HOME OF PROGRESSIVES: http://tyt.com/JOIN Alexandria Ocasio-Cortez is ready to tackle climate change.,The Young Turks,2018-12-04T04:19:58Z,wL5ucB3AbUs
GKBHcAhywOY,&#39;Disgusting&#39;: Ocasio-Cortez reacts to Abbott&#39;s comments on rape victims,CNN's Anderson Cooper talks to Rep. Alexandria Ocasio-Cortez (D-NY) about Texas Gov. Greg Abbott's response when he was ...,CNN,2021-09-08T02:50:22Z,GKBHcAhywOY
d9uTH0iprVQ,A Message From the Future With Alexandria Ocasio-Cortez,What if we actually pulled off a Green New Deal? What would the future look like? The Intercept presents a film narrated by ...,The Intercept,2019-04-17T14:13:09Z,d9uTH0iprVQ
hRM1t4RU69c,Rep. Ocasio-Cortez lays out &#39;bad guy&#39; ethics scenario,"Rep. Alexandra Ocasio-Cortez played ""a lightning round game"" during a House Oversight Committee hearing on Feb.",Washington Post,2019-02-08T16:45:59Z,hRM1t4RU69c
erVJMP263GM,Alexandria Ocasio-Cortez questions Michael Cohen during testimony before House committee,Alexandria Ocasio-Cortez questions Michael Cohen during testimony before a House committee on Wednesday. Cohen will soon ...,Eyewitness News ABC7NY,2019-02-27T22:22:54Z,erVJMP263GM
yJjyOpcYZOw,Alexandria Ocasio-Cortez&#39;s reaction to Trump losing the election,Rep. Alexandria Ocasio-Cortez (D-NY) speaks to CNN's Jake Tapper about the 2020 election and the future of the Democratic ...,CNN,2020-11-09T21:04:25Z,yJjyOpcYZOw
9tYOQUlq6hc,Alexandria Ocasio-Cortez supports local U.S. House candidates,"""Texas turning blue is inevitable,"" Ocasio-Cortez added. ""It will happen, the only is when.""",KENS 5: Your San Antonio News Source,2022-02-12T23:27:28Z,9tYOQUlq6hc
YzyOTAXgzr8,Alexandria Ocasio-Cortez Rips Trump For Systematic Attack On Immigrants | Rachel Maddow | MSNBC,"Rep. Alexandria Ocasio-Cortez talks with Rachel Maddow about Donald Trump record of hostility toward immigrants, and ...",MSNBC,2019-01-09T06:26:16Z,YzyOTAXgzr8
3xtf9QE-lME,Rep. Alexandria Ocasio-Cortez Breaks Down What the Green New Deal Really Is,"Representative Alexandria Ocasio-Cortez talks about the Green New Deal, showing the inner workings of Capitol Hill and her ...",Late Night with Seth Meyers,2019-03-22T09:00:01Z,3xtf9QE-lME
_e-XP0cFqbc,Ocasio-Cortez calls out Republicans in SCATHING speech,BREAKING: Congresswoman Alexandria Ocasio-Cortez just called out Republicans to their faces for decrying “socialism” while ...,Brian Tyler Cohen,2019-04-11T00:31:31Z,_e-XP0cFqbc
UhsA222q9FE,"‘Where&#39;s Mitch McConnell?’ Asks Alexandria Ocasio-Cortez, Freshmen Dems | The Last Word | MSNBC",Rep. Alexandria Ocasio-Cortez and a group of freshmen Democrats did a rare move and entered the Senate looking to find Mitch ...,MSNBC,2019-01-17T04:48:51Z,UhsA222q9FE
SIA4DcsgIAo,What Happened to Alexandria Ocasio-Cortez’s Green New Deal,"For decades, climate change has been a political hot potato. Its very existence has become a red line between some factions.",CNBC,2019-03-29T19:00:05Z,SIA4DcsgIAo
djZmXvvMQPk,AOC castigates McConnell for sending the Senate home for the holidays,Rep. Alexandria Ocasio-Cortez (D-N.Y.) attacked Senate Majority Leader Mitch McConnell (R-Ky.) on Nov. 20 for allowing the ...,Washington Post,2020-11-20T21:38:17Z,djZmXvvMQPk
5SKTKdaA65g,Alexandria Ocasio-Cortez challenges GOP after impeachment inquiry hearing,Rep. Alexandria Ocasio-Cortez (D-NY) discusses what she considers the most devastating information that emerged from the first ...,CNN,2019-11-14T00:19:22Z,5SKTKdaA65g
2lV9_YloMpQ,Ocasio-Cortez takes aim at Jared Kushner in FIERY speech,BREAKING: Congresswoman Alexandria Ocasio-Cortez FINALLY took on Jared Kushner's ill-gotten security clearance with a fiery ...,Brian Tyler Cohen,2019-04-02T20:02:06Z,2lV9_YloMpQ
u_NMS9Odzc0,Rep. Alexandria Ocasio-Cortez Questions Trump&#39;s Lawyer Michael Cohen,Rep. Alexandria Ocasio-Cortez questioned former Trump lawyer Michael Cohen about the president's deals for his New York City ...,CBS New York,2019-02-27T22:19:35Z,u_NMS9Odzc0
