videoId,channelTitle,description,publishedAt,title
-k9h_iUzz2A,The White House,"Hanoi, Vietnam.",2023-09-10T14:45:30Z,President Biden Holds a Press Conference
tMIRRHs-b50,The White House,"Largo, MD.",2023-09-14T20:02:17Z,President Biden Delivers Remarks on Bidenomics
vQU5E8QwGyk,CNBC Television,President Joe Biden delivers remarks on Bidenomics in Maryland on Thursday. » Subscribe to CNBC TV: ...,2023-09-14T19:57:27Z,President Biden delivers remarks on &#39;Bidenomics&#39; — 09/14/23
EOgdZWSZ0iI,The White House,"President Biden delivers remarks on the whole-of-government response and recovery efforts on Maui, Hawaii and the ongoing ...",2023-08-30T19:11:38Z,President Biden Delivers Remarks on Maui and Hurricane Idalia Response
Ie1ys5UBAH4,CNBC Television,"President Joe Biden speaks about Maui, which has been severely damaged from the deadliest wildfires in U.S. history.",2023-08-30T19:07:18Z,President Biden delivers remarks on recovery efforts in Maui— 8/30/23
EW27exsGJ8s,The White House,"Helsinki, Finland.",2023-07-13T15:13:00Z,President Biden Holds a Joint Press Conference with President Niinistö of Finland
YlEJh5YrZTg,NBC News,President Biden delivers remarks at the United Nations headquarters for its annual General Assembly. » Subscribe to NBC News: ...,2023-09-19T14:57:59Z,Watch: Biden&#39;s 2023 speech at the U.N. General Assembly | NBC News
bpQVoN0iAiU,CNBC Television,President Joe Biden hosts a joint press conference with ith President Yoon Suk Yeol of South Korea and Prime Minister Kishida ...,2023-08-18T20:13:08Z,Biden holds a joint press conference with the PM of Japan and South Korean President — 8/18/23
dy9pD0mPXAc,Forbes Breaking News,"President Biden holds a press briefing in Hanoi, Vietnam. Fuel your success with Forbes. Gain unlimited access to premium ...",2023-09-10T14:55:17Z,"JUST IN: President Biden Holds Press Briefing In Hanoi, Vietnam | Full"
hLXNtSAja5g,Guardian News,US president Joe Biden delivers press conference after eventful Nato summit.,2023-07-12T17:18:10Z,President Biden delivers press conference after Nato summit – watch live
8iok6-EKb1s,CBS News,President Biden delivered remarks on Wednesday to address how his administration is providing support in the wake of Hurricane ...,2023-08-30T19:06:30Z,"President Biden on Hurricane Idalia response, Maui recovery efforts | full video"
JptkUe1XrAU,CNBC Television,President Biden delivers remarks alongside President Sauli Niinisto of the Republic of Finland on Thursday. » Subscribe to CNBC ...,2023-07-13T15:07:05Z,President Biden holds a joint press conference with President Niinisto of Finland — 07/13/23
uhuiFLd9Tj0,The White House,"President Biden delivers remarks on the one year anniversary of the PACT Act, which is the most significant expansion of benefits ...",2023-08-10T18:11:20Z,President Biden Delivers Remarks on the One Year Anniversary of the PACT Act
1soG0SdAo9Q,CBS News,President Biden is holding a news conference Friday with Japanese Prime Minister Fumio Kishida and South Korean President ...,2023-08-18T20:12:22Z,President Biden holds news conference with Japanese and South Korean leaders | full video
yqM-zqMHMn0,NBC News,Watch live coverage as President Biden holds a joint press conference with President Sauli Niinistö of Finland during his ...,2023-07-13T15:20:53Z,Watch: Biden holds joint press conference with president of Finland | NBC News
N-03s5a9JPc,The White House,"Hiroshima, Japan.",2023-05-22T19:01:41Z,President Biden Holds a Press Conference
2vb0VGeZ0x8,NBC News,Watch live coverage as President Biden delivers remarks on the economy amid his son Hunter Biden's federal indictment on three ...,2023-09-14T20:06:54Z,Watch: Biden delivers remarks on economy amid Hunter Biden indictment
ENABsFNpCXk,CBS News,President Biden and Finnish President Sauli Niinistö held a news conference following their meeting on Thursday. Mr. Biden also ...,2023-07-13T15:06:30Z,"Biden, Finnish President Sauli Niinistö hold news conference | full video"
LZkC3zr2Vlo,C-SPAN,President Biden delivers remarks on the deadly Maui wildfires that left more than a hundred dead. He and the first lady are on the ...,2023-08-22T15:05:41Z,President Biden Delivers Remarks on Wildfires in Maui.
kH3nMUIQeNQ,CNBC Television,President Biden speaks about expanding access to mental health care on Tuesday. » Subscribe to CNBC TV: ...,2023-07-25T19:45:27Z,President Biden delivers remarks on mental health care — 07/25/23
e-BNHuwMwJs,The Independent,"Joe Biden holds a news conference in Hanoi. The US president, who is on a two-day visit to Vietnam, offered his condolences to ...",2023-09-10T15:51:56Z,Watch again: Joe Biden holds a news conference in Hanoi
OTWGyqlLLQo,The White House,President Biden hosts a joint press conference with President Yoon Suk Yeol of the Republic of Korea and Prime Minister Kishida ...,2023-08-18T20:14:16Z,President Biden Hosts a Joint Press Conference with President Yoon and Prime Minister Kishida
7Dp917s8jcA,The White House,"President Biden delivers remarks to service members, first responders, and their families on the anniversary of 9/11. Anchorage ...",2023-09-11T20:45:52Z,President Biden Delivers Remarks on the Anniversary of 9/11
0oCn0msuq4A,NBC News,Watch live coverage as President Biden and South Korean President Yoon Suk Yeol hold a joint press conference at the White ...,2023-04-26T18:24:06Z,Biden holds press conference with president of South Korea | NBC News
BsW83uEzGpg,Sky News,"US President Joe Biden delivers remarks as he pays respects to the lives lost on Maui, Hawaii. Biden has faced criticism from ...",2023-08-21T23:15:42Z,Joe Biden speaks in Hawaii after inspecting wildfire damage
