videoId,channelTitle,description,publishedAt,title
czodxeWGCGw,The White House,"President Biden delivers remarks highlighting how the United States, alongside our allies and partners, are supporting Ukraine, ...",2023-07-12T17:17:03Z,President Biden Delivers Remarks Highlighting How the United States is Supporting Ukraine
bDZ1H4ABmiU,C-SPAN,"From C-SPAN coverage, President Biden remarks at the 2022 White House Correspondents' Dinner. Watch the complete video ...",2023-04-30T03:13:06Z,President Biden complete remarks at 2023 White House Correspondents&#39; Dinner (C-SPAN)
pyYSnCKQWhU,NBC News,Watch live coverage as President Biden holds a press conference in Vietnam after the G20 summit. » Subscribe to NBC News: ...,2023-09-10T14:46:44Z,Watch: Biden delivers remarks in Vietnam after G20 summit
kO6SYtVruzY,The White House,The White House.,2023-04-26T18:30:59Z,President Biden Hosts a Joint Press Conference with President Yoon of the Republic of Korea
ujR0cflNf_M,The White House,The White House.,2023-06-08T19:07:26Z,President Biden Holds a Joint Press Conference with Prime Minister Rishi Sunak of the United Kingdom
Qx_3zZE0oa4,CBS News,President Biden delivered remarks in the historic town of Lahaina after surveying the damage caused by wildfires on Maui and ...,2023-08-21T23:14:40Z,Biden speaks in Lahaina after surveying Maui fire damage | full video
EzlXFYvqKiw,Sky News,"US President Joe Biden holds news conference after attending the G7 summit in Hiroshima, Japan. #G7 #G7Summit #Biden ...",2023-05-21T10:40:04Z,President Biden holds a news conference on the final day of the G7 summit
5-jVfVc6EY8,ABC News,"President Joe Biden poked fun at Elon Musk, Don Lemon, Fox News, Gov. Ron Desantis, and House Speaker Kevin McCarthy ...",2023-04-30T03:52:24Z,Biden speaks at the White House Correspondents’ Dinner
0wCi8XR-G8Y,CNBC Television,President Joe Biden holds a joint press conference with the United Kingdom's Prime Minister Rishi Sunak on Thursday.,2023-06-08T19:02:33Z,President Biden holds a joint press conference with UK Prime Minister Rishi Sunak  — 6/8/23
4Rox8aj9-ZU,NBC News,Watch live coverage as President Biden holds a joint press conference with U.K. Prime Minister Rishi Sunak. » Subscribe to NBC ...,2023-06-08T19:02:21Z,Biden holds press conference with U.K. Prime Minister Sunak | NBC News
ALEK0odD1CI,Forbes Breaking News,"Earlier this morning, President Biden held a press briefing in Hiroshima, Japan, amidst ongoing debt ceiling talks with ...",2023-05-21T14:46:16Z,Biden Holds Press Briefing In Japan As Debt Limit Battle With McCarthy Continues
1JJPX7fLp6U,The White House,President Biden delivers remarks on the anniversary of the Inflation Reduction Act - a key part of Bidenomics that is Investing in ...,2023-08-16T19:42:12Z,President Biden Delivers Remarks on the Anniversary of the Inflation Reduction Act
3h075GM_iA4,CNBC-TV18,"US President Joe Biden holds a press conference in Hanoi, Vietnam #joebiden #vietnam #g20 #g20india2023 #g20summitdelhi ...",2023-09-11T02:37:29Z,"LIVE : President Biden&#39;s Post-G20 Summit Press Conference In Hanoi, Vietnam | N18L | CNBC TV18"
fLER0sf-5S0,Washington Post,"President Biden's speech at the 2023 White House correspondents' dinner tackled free speech, the 2024 election, and his GOP ...",2023-04-30T04:56:15Z,Biden&#39;s 2023 White House correspondents’ dinner speech
SzMYpYwPpuI,CBS News,President Biden and U.K. Prime Minister Rishi Sunak held a joint news conference following their meeting at the White House on ...,2023-06-08T19:01:59Z,President Biden and U.K. Prime Minister Rishi Sunak hold news conference at White House | full video
yIXChB_IaSw,CNBC Television,President Joe Bide holds a joint press conference with President Yoon on Wednesday. » Subscribe to CNBC TV: ...,2023-04-26T18:49:38Z,Biden holds a joint press conference with President Yoon of the Republic of Korea — 04/26/23
wo7nYhQmrDA,CBS News,President Joe Biden said a strong NATO makes the entire world stronger as he took questions from reporters with Finnish ...,2023-07-13T18:25:33Z,Biden vows to defend all NATO territory in press conference with Finnish president
vritCJwlXRI,The White House,The White House.,2023-08-29T18:46:53Z,President Biden and Vice President Harris Deliver Remarks on Lowering Healthcare Costs
0zzfdERIbGk,Guardian News,"The US president has concluded a trip to Finland after meeting leaders including prime ministers of Denmark, Iceland, Norway ...",2023-07-13T15:22:48Z,Joe Biden holds press conference with Nordic leaders – watch live
OKJK99B6yEg,MSNBC,President Joe Biden addressed the detainment of American journalists overseas and poked fun at news coverage surrounding his ...,2023-04-30T18:30:18Z,Watch Biden’s full remarks from 2023 White House correspondents’ dinner
lpgQnEptaPw,Fox Business,President Biden hosts a joint press conference with U.K. Prime Minister Rishi Sunak at the White House. #foxbusiness Subscribe ...,2023-06-08T19:02:53Z,&#39;Where&#39;s the money?&#39;: Biden declares he&#39;s &#39;honest&#39; amid bribery allegations
7WZZWX7GFts,Sky News,"US President Joe Biden holds a joint news conference with the President of South Korea, Yoon Suk Yeol. Read the latest news ...",2023-04-26T18:24:31Z,US President Joe Biden holds news conference with South Korean President Yoon Suk Yeol
UXkAGrXINzM,The White House,The White House.,2023-06-13T21:39:15Z,President Biden Delivers Remarks at the Chiefs of Mission Reception
EaN2GiIrs_0,Fox Business,President Biden delivers remarks in Maryland on the state of the U.S. economy. #foxbusiness Subscribe to Fox Business!,2023-09-14T20:13:04Z,Biden speaks on US economy after Hunter&#39;s indictment news
54V_qkDgJ1k,Yahoo Finance,President Biden holds a joint press conference with President Yoon Suk Yeol of South Korea and Japanese Prime Minister Fumio ...,2023-08-18T20:14:50Z,President Biden press conference with South Korean president and Japanese Prime Minister
