videoId,title,description,channelTitle,publishedAt,videoId
TD4wlR2TWe8,Vivek Ramaswamy Town Hall on NewsNation,"Republican presidential candidate Vivek Ramaswamy spoke about polarization, free speech, international aggression and ...",NewsNation,2023-08-15T07:00:09Z,TD4wlR2TWe8
fvaqe12EY2s,Vivek Ramaswamy town hall: Top takeaways | NewsNation,"Republican presidential candidate Vivek Ramaswamy spoke about polarization, free speech, international aggression and ...",NewsNation,2023-08-15T04:23:22Z,fvaqe12EY2s
82t1Kh__he4,Vivek Ramaswamy News LIVE | Vivek Ramaswamy Speech At Parental Rights Town Hall | U.S. News LIVE,Vivek Ramaswamy News LIVE | Vivek Ramaswamy Speech At Parental Rights Town Hall | U.S. News LIVE GOP presidential ...,CNN-News18,2023-08-22T17:45:55Z,82t1Kh__he4
iwIUyFPLcZk,Vivek Ramaswamy Speaks At The Parental Rights Town Hall in NH | Vivek Ramaswamy Speech | N18 LIVE,Vivek Ramaswamy Speaks At The Parental Rights Town Hall in NH | Vivek Ramaswamy Speech | News18 LIVE Courtesy: Vivek ...,CNN-News18,2023-09-02T05:39:19Z,iwIUyFPLcZk
Ndo-4V1-pXk,WATCH: Vivek Ramaswamy Takes Questions Directly From Republican Voters,"Last night, Vivek Ramaswamy took voters' questions at a town hall in Hampton, New Hampshire. Fuel your success with Forbes.",Forbes Breaking News,2023-09-02T16:19:56Z,Ndo-4V1-pXk
tr8kyD2-V7s,Vivek Ramaswamy Speaks At The Parental Rights Town Hall in NH | Vivek Ramaswamy Speech | News18 LIVE,Vivek Ramaswamy Speaks At The Parental Rights Town Hall in NH | Vivek Ramaswamy Speech | News18 LIVE Courtesy: Vivek ...,CNN-News18,2023-09-02T01:17:35Z,tr8kyD2-V7s
oYzpXxeJkiE,Vivek Ramaswamy News LIVE | Vivek Ramaswamy Speech At Parental Rights Town Hall | U.S. News LIVE,Vivek Ramaswamy News LIVE | Vivek Ramaswamy Speech At Parental Rights Town Hall | U.S. News LIVE GOP presidential ...,CNN-News18,2023-08-23T09:33:37Z,oYzpXxeJkiE
He6TG1grunM,Ramaswamy readies for NewsNation town hall | Morning in America,NewsNation's Leland Vittert will host a town hall forum with GOP presidential candidate Vivek Ramaswamy August 14. Here's how ...,NewsNation,2023-08-14T11:07:25Z,He6TG1grunM
QnAOUMB-BjE,Vivek Ramaswamy Town Hall | PBD Podcast,"For the first time, the PBD Podcast will host a Town Hall for a presidential candidate. Vivek Ramaswamy will join Patrick Bet-David ...",PBD Podcast,2023-08-05T01:08:35Z,QnAOUMB-BjE
Bgwp1AOoN34,WATCH: Vivek Ramaswamy Takes Questions From Iowa Voters: &#39;I&#39;m Excited To Hear From You Guys&#39;,"Last night, Vivek Ramaswamy held a town hall where he took questions from voters in Newton, Iowa. Fuel your success with ...",Forbes Breaking News,2023-08-26T14:43:51Z,Bgwp1AOoN34
e6tPLAZf114,&#39;Reverse Racism Is Racism&#39;: Vivek Ramaswamy Rails Against Wokeism At New Hampshire Town Hall,"At a town hall event last week, presidential candidate Vivek Ramaswamy spoke about racism. Fuel your success with Forbes.",Forbes Breaking News,2023-08-07T20:15:01Z,e6tPLAZf114
