videoId,title,description,channelTitle,publishedAt,videoId
8_8R6PgGcTw,Bernie Sanders Speech On Democratic Socialism,Bernie Sanders delivered his long-awaited speech advocating for democratic socialism in America. He pointed to the example of ...,The Young Turks,2015-11-21T05:30:01Z,8_8R6PgGcTw
BkdqBqDsz_E,Pittsburgh Press Conference on Trade | Bernie Sanders,Join the political revolution at www.berniesanders.com ☆ Connect with Bernie: Facebook ...,Bernie Sanders,2016-03-31T21:25:50Z,BkdqBqDsz_E
L0NGWaf_Gco,&quot;The Russian People Are Not Our Enemies&quot; - Sen. Bernie Sanders On Putin And The Oligarchs,Senator Bernie Sanders returns to The Late Show to help Stephen Colbert break down the highlights of President Biden's first ...,The Late Show with Stephen Colbert,2022-03-02T09:47:19Z,L0NGWaf_Gco
_wNxBTFFwTc,Sen. Bernie Sanders on Protesting and the History of Racial Police Violence,"Senator Bernie Sanders remarks on the United States grappling with a multitude of crises, his record of protesting and the history ...",The Tonight Show Starring Jimmy Fallon,2020-06-05T04:30:32Z,_wNxBTFFwTc
PZAa2urFS34,Institutional Racism and Criminal Justice Reform | Bernie Sanders,"Senator Bernie Sanders speaks at Benedict College in Columbia, South Carolina, about racism, policing, and criminal justice ...",Bernie Sanders,2015-09-17T20:56:00Z,PZAa2urFS34
sQapCcpjUnY,Terrorism Will Not Strike Fear in American Hearts | Bernie Sanders,Sen. Bernie Sanders calls for a concerted international effort to defeat the Islamic State and “eliminate the stain of ISIS from this ...,Bernie Sanders,2015-11-17T03:06:11Z,sQapCcpjUnY
cq844C4OiL0,Bernie Sanders shrugs off attacks at South Carolina debate,"peaking to CNN after the South Carolina Democratic presidential debate hosted by CBS News, Sen. Bernie Sanders (I-VT) fielded ...",CNN,2020-02-26T05:37:10Z,cq844C4OiL0
TPD5DhCGAGQ,Hillary Clinton Says I&#39;m Unelectable | Bernie Sanders,Bernie Sanders responds to Hillary Clinton's questions about his electability. The truth: Bernie wins against Republicans by ...,Bernie Sanders,2016-01-09T21:43:59Z,TPD5DhCGAGQ
nUom_28cY_I,Let States Make Marijuana Legal | Bernie Sanders,Too many Americans have seen their lives destroyed because they have criminal records as a result of marijuana use.,Bernie Sanders,2015-10-29T03:19:25Z,nUom_28cY_I
VePpQBCbKBw,Bernie Brief: Income Inequality | Ep. 1,Bernie Sanders explains the one issue the billionaire class wants us to avoid -- and change. Read more about Income Inequality ...,Bernie Sanders,2015-09-14T17:00:45Z,VePpQBCbKBw
16S2lQn5xgs,How Bernie Sanders Answers A Question,MY BOOK OF ESSAYS IS OUT NOW! AMAZON: https://amzn.to/3dk14yu EVERYWHERE ELSE: https://bit.ly/3qJEbHT When you ...,Nerdwriter1,2020-02-28T15:00:01Z,16S2lQn5xgs
