videoId,title,description,channelTitle,publishedAt,videoId
ovKtiKufMu8,WATCH: DeSantis ratchets up campaign against Disney,Gov. Ron DeSantis and Florida lawmakers ratcheted up pressure on Walt Disney World on Monday by announcing legislation that ...,ABC Action News,2023-04-17T19:39:29Z,ovKtiKufMu8
-N0INoJaiYE,Gov. DeSantis hold press conference on TS Nicole,Governor Ron DeSantis is holding a press conference on Tropical Storm Nicole as it continues to move across Florida.,ABC Action News,2022-11-10T16:34:28Z,-N0INoJaiYE
qksxoakQcO0,Gov. Ron DeSantis on Hurricane Ian,Florida Governor Ron DeSantis held a press conference Tuesday afternoon on Hurrican Ian.,CBS Miami,2022-09-27T21:44:39Z,qksxoakQcO0
LUqW8UAahu4,Ron DeSantis delivers Labor Day press conference on Hurricane Dorian,DeSantis told reporters Florida Power & Light has over 17000 employees ready to dispatch to power outages once the storm hits.,WFLA News Channel 8,2019-09-02T15:29:23Z,LUqW8UAahu4
Pe8sKZqXs-8,DeSantis won&#39;t meet with Biden in Florida after Hurricane Idalia,Gov. Ron DeSantis says he will not meet with President Biden in Florida to assess the damage caused by Hurricane Idalia.,NBC News,2023-09-02T02:30:12Z,Pe8sKZqXs-8
qJDi20vPt1U,Florida Gov. Ron DeSantis Holds News Conference With Latest Information on Coronavirus Outbreak,Florida Gov. Ron DeSantis holds a news conference with the latest information as closures mount amid coronavirus concerns.,NBC 6 South Florida,2020-03-17T15:29:39Z,qJDi20vPt1U
5UUOy2yGFVQ,WATCH LIVE Governor Ron DeSantis to Hold Press Conference at SEOC  Aug 1. at 8:30 am ET,"Tallahassee, Fla. – Governor Ron DeSantis will hold a press conference at the State Emergency Operations Center regarding ...",WFSU Public Media,2020-08-01T13:12:19Z,5UUOy2yGFVQ
NlWJF0Pospg,&#39;A Definite LOSER&#39;: Ron DeSantis Decries Biden Admin&#39;s Vaccine Mandates,Florida Governor Ron DeSantis speaks about vaccine mandates during a press conference on Tuesday.,The Hill,2021-10-12T18:59:27Z,NlWJF0Pospg
VEi_agdUb2U,WEB EXTRA: Gov. Ron DeSantis Holds COVID-19 Briefing,Florida Governor Ron DeSantis held a news conference on coronavirus measures on Tuesday afternoon.,CBS Miami,2020-03-24T20:14:49Z,VEi_agdUb2U
iZ779aUYBzk,Hecklers interrupt Gov. Ron DeSantis during coronavirus briefing,,WKMG News 6 ClickOrlando,2020-07-20T16:35:02Z,iZ779aUYBzk
VhRSDNXvrGI,Gov. Ron DeSantis announces suspension of State Attorney Monique Worrell,"Gov. Ron DeSantis announces the suspension of Orlando State Attorney Monique Worrell, citing 'neglect of duty and ...",WPTV News - FL Palm Beaches and Treasure Coast,2023-08-09T16:16:58Z,VhRSDNXvrGI
Z1Q2uE9E1Tg,Ron DeSantis Signs Bill To Help Retired Police Dogs,"At a press event on Friday, Florida Gov. Ron DeSantis (R-FL) signed a bill to care for retired police dogs. Stay Connected Forbes ...",Forbes Breaking News,2022-06-10T19:51:17Z,Z1Q2uE9E1Tg
0zNgbfeaZu8,Florida Governor Ron DeSantis says China is the top threat to the U.S.,'Last Call' host Brian Sullivan sits down for an exclusive interview with Florida Governor and Republican Presidential Candidate ...,CNBC Television,2023-08-14T23:39:47Z,0zNgbfeaZu8
TPnDrRqP6RQ,Exclusive: Gov. Ron DeSantis Discusses His Handling Of COVID Pandemic,"CBS4's Jim DeFede went one-on-one with the governor, who was giving his first formal interview since the COVID-19 pandemic ...",CBS Miami,2020-08-03T22:23:56Z,TPnDrRqP6RQ
33wHQ5JNEe4,Gov. Ron DeSantis talks executions,Governor Ron DeSantis spoke about the uptick in executions in Florida.,WMBB News 13,2023-05-05T15:33:39Z,33wHQ5JNEe4
dlnAtT7vI0c,WEB EXTRA: Gov. Ron DeSantis at Surfside remembrance event,Gov. Ron DeSantis at Surfside remembrance event.,CBS Miami,2022-06-24T14:48:41Z,dlnAtT7vI0c
uAHM0R2GEw0,"Gov. Ron DeSantis proposes bonuses, pay raises for Florida law enforcement","Gov. Ron DeSantis plans to propose pay increases and more bonuses for every law enforcement officer, first responder and EMT ...",10 Tampa Bay,2021-11-29T20:46:34Z,uAHM0R2GEw0
ETDdnlLCnTs,Scott pushes back on DeSantis over Florida curriculum: ‘No silver lining’ in slavery,Sen. Tim Scott of South Carolina pushed back Thursday against Republican rival Ron DeSantis over his state's new Black history ...,CNN,2023-07-28T17:41:05Z,ETDdnlLCnTs
XLyUmqL3FcQ,"Christie goes after Trump, DeSantis as Florida governor touts COVID response",Florida Gov. Ron DeSantis touted his COVID-19 response as former New Jersey Gov. Chris Christie went on offense Wednesday.,CBS News,2023-06-22T14:31:53Z,XLyUmqL3FcQ
-ZhO-AYbmbQ,Gov. Ron DeSantis touts GOP accomplishments as Florida legislative session concludes,The 2023 legislative session ended Friday. Gov. Ron DeSantis touted it as a success while Democratic leaders said many of the ...,WPTV News - FL Palm Beaches and Treasure Coast,2023-05-07T15:25:42Z,-ZhO-AYbmbQ
