videoId,title,description,channelTitle,publishedAt,videoId
dHYUyI12RHU,Former President Trump speaks after surrendering in Georgia,The former president made a few comments before leaving Atlanta. ---- Click here for full coverage in the election interference ...,11Alive,2023-08-25T01:09:10Z,dHYUyI12RHU
GXI_4fP9E7E,Trump bashes electric vehicles &amp; Biden in speech before UAW members in Macomb County,Former President Donald Trump spoke in Clinton Township Wednesday at a rally before striking UAW members. FOX 2 Detroit is ...,FOX 2 Detroit,2023-09-28T03:04:21Z,GXI_4fP9E7E
nA4JCtTwfJg,"Trump speaks on being charged under espionage act, slams Clintons in speech","Former President Trump spoke in Bedminster, New Jersey, after he pleaded not guilty to a 37-count indictment. He criticizes being ...",NBC News,2023-06-14T02:30:21Z,nA4JCtTwfJg
gE6KX5znVPg,Trump campaigns in Iowa as he faces likely fourth indictment,"Many of the Republican hopefuls visited the Iowa State Fair — including Donald Trump, ahead of a week expected to be ...",TODAY,2023-08-14T12:45:04Z,gE6KX5znVPg
LFHcW5fdqVE,Trump on Biden: How stupid can you be?,"2024 Republican front-runner Donald Trump joins Fox News' Maria Bartiromo, saying his presidential priorities are national ...",Fox News,2023-07-23T19:00:14Z,LFHcW5fdqVE
I1i3eoaxeP4,&#39;I&#39;m very pro-choice&#39;: Watch Trump&#39;s evolving position on abortion,CNN This Morning looks back at former President Donald Trump's position on abortion and how it has evolved throughout the ...,CNN,2023-09-25T18:42:02Z,I1i3eoaxeP4
