videoId,title,description,channelTitle,publishedAt,videoId
p1ubTsrZFBU,Bernie x Cardi B,Bernie Sanders and Cardi B sat down at The TEN Nail Bar in Detroit to discuss the major issues facing our country.,Bernie Sanders,2019-08-15T15:45:57Z,p1ubTsrZFBU
Q4ovOn7e238,Jen Psaki&#39;s exclusive interview with Bernie Sanders,"Senator Bernie Sanders (VT-D) joins Jen Psaki for an exclusive interview to discuss Supreme Court Justice Clarence Thomas, ...",MSNBC,2023-04-16T21:45:00Z,Q4ovOn7e238
yl47bKi-_vE,"Bernie Sanders on why he’s endorsing Biden, forgoing his own 2024 bid",Bernie Sanders: “I think it is a surprise to nobody when I say I disagree with Biden on many issues. But on the other hand I think he ...,MSNBC,2023-04-28T01:32:11Z,yl47bKi-_vE
EHps9UsJsko,Bernie &amp; Killer Mike: 2020,"Bernie Sanders and Killer Mike sat down in Atlanta to talk about the 2020 presidential election, health care, drug prices, wealth ...",Bernie Sanders,2019-08-29T13:25:42Z,EHps9UsJsko
Xj-TsVchoAM,"Bernie Sanders: If Biden does this, he&#39;ll &#39;win in a landslide&#39;",Sen. Bernie Sanders (I-VT) weighs in on President Joe Biden's 2024 presidential bid and discusses House Speaker Kevin ...,CNN,2023-04-30T22:25:05Z,Xj-TsVchoAM
ENce6kCDPrw,“Big Money Buys Elections” - Sen. Bernie Sanders on How Money Corrupts American Politics,"Sen. Bernie Sanders gives examples of how corporations and wealthy individuals put profit motives ahead of the public good, ...",The Late Show with Stephen Colbert,2023-02-21T08:35:00Z,ENce6kCDPrw
NaNkgtEnrW0,Sen. Bernie Sanders: Democratic Socialist Ideas Are Mainstream,"Senator Sanders shrugs off Colbert's suggestion that the word ""socialist"" taints progressive ideas like universal healthcare and ...",The Late Show with Stephen Colbert,2018-08-15T07:35:02Z,NaNkgtEnrW0
kfqNRReOXmA,Bernie from Brooklyn: A Conversation with Mark Ruffalo,"Bernie and Mark Ruffalo walk through Brooklyn, discussing how his upbringing affected his worldview and policies. --------- ☆ Join ...",Bernie Sanders,2016-04-18T16:11:31Z,kfqNRReOXmA
hiGEh7UoMYg,&#39;Bernie Sanders Interview’ Ep. 1 Official Clip | Who Is America? | SHOWTIME,"A comedy from Sacha Baron Cohen. All Episodes Available Now, only on SHOWTIME. #WhoIsAmerica Learn More About WHO ...",SHOWTIME,2018-07-16T20:52:50Z,hiGEh7UoMYg
1o1SIyQtvfM,Bernie Sanders Recalls Film Cameos Before He was a Senator | The Drew Barrymore Show,"Drew Barrymore sits down with Senator Bernie Sanders to discuss his new book, ""It's OK to Be Angry About Capitalism"" and the ...",The Drew Barrymore Show,2023-02-23T17:00:02Z,1o1SIyQtvfM
0VVqi8vzmr4,"‘Disgusting’: Bernie Sanders reacts to comments from millionaire CEO, applauds unions",Sen. Bernie Sanders: “I really applaud the courage of Shawn Fain and the workers at the UAW for standing up and saying enough ...,MSNBC,2023-09-15T01:45:00Z,0VVqi8vzmr4
tJ9j_JT9Lhg,Bernie Sanders fires back at Trump over socialism,"During a CNN town hall, presidential candidate Bernie Sanders explains the programs he'd like to implement if he were elected ...",CNN,2019-02-26T04:27:19Z,tJ9j_JT9Lhg
Q8XdL1nZrIU,"Bernie Sanders on Weed, AOC &amp; Cardi B | Extended Interview | DESUS &amp; MERO","Bernie Sanders talks with DESUS & MERO about the upcoming election, conversing with Cardi B, Alexandria Ocasio-Cortez ...",DESUS & MERO,2019-11-01T03:30:14Z,Q8XdL1nZrIU
iIqIoVDsGFU,Sen. Bernie Sanders Discusses Message Biden Is Sending With Ukraine Visit | The View,"The Vermont senator and author of “It's OK to Be Angry About Capitalism” joins ""The View"" to weigh in on the latest headlines.",The View,2023-02-21T19:00:20Z,iIqIoVDsGFU
zpzdTvYWteQ,Bernie Sanders entire CNN interview (Part 1),Democratic presidential candidate Sen. Bernie Sanders talks to CNN's Erin Burnett just days before a key primary election in ...,CNN,2016-03-30T00:36:42Z,zpzdTvYWteQ
PyCLMcrzaxI,Sen. Bernie Sanders Talks About His Brother and British Politician Larry Sanders,"Senator Bernie Sanders talks about the need for pro-labor music, his brother and fellow politician Larry Sanders and the 2022 ...",Late Night with Seth Meyers,2022-09-27T10:00:23Z,PyCLMcrzaxI
5i3T6z07n6s,Brooklyn Democratic Debate | Bernie Sanders,"Millions of people must stand up, fight back and create a government that works for all of us. New York – go vote on Tuesday.",Bernie Sanders,2016-04-15T17:34:57Z,5i3T6z07n6s
qE3urC7REWk,“Build Back Better Would Have Been Transformative” - Sen. Bernie Sanders,"Senator Bernie Sanders celebrates the success of the American Rescue Plan, and expresses his regret that the Senate couldn't ...",The Late Show with Stephen Colbert,2023-02-21T08:35:02Z,qE3urC7REWk
SYxZfksAyco,30 Years of Speeches,Watch this amazing video that a talented volunteer put together showing 30 years of speeches. Video by EJH.,Bernie Sanders,2016-03-25T04:21:13Z,SYxZfksAyco
ELrQbd_grrY,Full interview with Sen. Bernie Sanders,Jake Tapper interviews Vermont Senator Bernie Sanders on State of the Union.,CNN,2017-02-05T16:30:38Z,ELrQbd_grrY
YoZvep-KoLQ,Bernie Sanders says he will vote against debt ceiling deal,"It was not a difficult decision,” Sen. Bernie Sanders says on voting against the debt ceiling deal. “You don't do deficit reduction in ...",MSNBC,2023-06-01T00:52:24Z,YoZvep-KoLQ
Q4tGWSGsCNg,Bernie Sanders on taking the U.S. back from corporate interests,"Senator Bernie Sanders talks about his new book, ""It's OK to be Angry About Capitalism,"" and how Americans can address ...",MSNBC,2023-02-22T06:30:05Z,Q4tGWSGsCNg
nO1AWpH_7BM,Bernie Sanders full interview,Sen. Bernie Sanders (I-VT) talks to Jake Tapper about the GOP congressional baseball shooting as well as the GOP's health care ...,CNN,2017-06-18T15:04:23Z,nO1AWpH_7BM
HnaqrepHrtc,The Daily Show - Democalypse 2016 - Bernie Sanders Kicks Off His Campaign,"Vermont Senator Bernie Sanders makes for an unconventional presidential contender, but only in comparison to other candidates ...",Comedy Central,2015-05-29T15:11:51Z,HnaqrepHrtc
y9o3UcBXgQE,Danny DeVito Endorses Bernie Sanders for President,It means the world to me to be on Bernie's side because I know that's the right side of history. He's the guy to do it. He is the man to ...,Bernie Sanders,2020-01-13T17:55:31Z,y9o3UcBXgQE
