videoId,title,description,channelTitle,publishedAt,videoId
rwuvPNfo9BI,Ron DeSantis in victory speech: &#39;Florida is where woke goes to die&#39;,Florida Gov. Ron DeSantis speaks to Floridians following his major re-election victory over Charlie Crist in the 2022 midterms.,Fox News,2022-11-09T11:30:12Z,rwuvPNfo9BI
rW4DZBB0crQ,Ron DeSantis delivers acceptance speech,Florida's governor-elect Ron DeSantis delivered his acceptance speech Tuesday night.,WKMG News 6 ClickOrlando,2018-11-07T04:32:02Z,rW4DZBB0crQ
xRGZnViBaoM,WEB EXTRA: Florida Republican Gubernatorial Candidate Ron DeSantis&#39; Victory Speech,Florida Republican Gubernatorial Candidate Ron DeSantis defeated Andrew Gillum to become Florida's next governor.,CBS Miami,2018-11-07T04:35:44Z,xRGZnViBaoM
xqV9ZEq4A5o,DeSantis tells people to ‘chill out’ with Trump 2024 talk,"During a speech in Lee County, Florida, Gov. Ron DeSantis called for people asking about his brewing rivalry with Trump to “chill ...",CNN,2022-11-17T04:20:51Z,xqV9ZEq4A5o
3dRZGMX4Dzk,DeSantis takes aim at Trump during Iowa campaign event,Florida Gov. Ron DeSantis is in Iowa courting supporters following his first few campaign events in the Hawkeye State. DeSantis ...,CBS News,2023-05-31T23:27:24Z,3dRZGMX4Dzk
TpIxgm1x4Ek,Governor Ron DeSantis at the Republican Party of Iowa,DeSantis Team Twitter: @TeamDeSantis DeSantis Team IG: @TeamRonDeSantis DeSantis Team Rumble: RonDeSantlisFL.,Ron DeSantis,2023-07-29T15:02:05Z,TpIxgm1x4Ek
_9-kIJUGRyU,DeSantis speaks to Utah Republican Party convention,"Florida Governor Ron DeSantis got cheers from Utah Republican Party delegates as he gave a fiery, red meat speech pushing ...",FOX 13 News Utah,2023-04-23T20:13:45Z,_9-kIJUGRyU
HhuzPoubUIc,DeSantis to make first 2024 campaign stop in Iowa,Florida Gov. Ron DeSantis is hitting the campaign trail for the first time since announcing his 2024 candidacy. CBS News senior ...,CBS News,2023-05-31T00:01:57Z,HhuzPoubUIc
zGgdR04iCME,&#39;Queer theory is not Black history&#39; | DeSantis addresses nixing AP African American studies course,"""We want education, not indoctrination,"" DeSantis said Monday at a Jacksonville school. He said the AP class is using Black ...",First Coast News,2023-01-23T16:41:11Z,zGgdR04iCME
JObPHVsMQzI,DeSantis to announce 2024 presidential bid in conversation with Elon Musk,"Florida Gov. Ron DeSantis will announce his 2024 presidential campaign in a conversation with Twitter owner Elon Musk, ...",CNN,2023-05-23T18:49:53Z,JObPHVsMQzI
jSpLW4AbWm0,DeSantis signs 15-week abortion ban for Florida | LiveNOW from FOX,"Florida Gov. Ron DeSantis held a press conference for the signing of HB 5, the new Florida bill that bans abortions starting at 15 ...",LiveNOW from FOX,2022-04-14T15:24:23Z,jSpLW4AbWm0
aXC8Wr5O-4k,DeSantis: Disney &#39;crossed the line&#39; over so-called &#39;Don&#39;t Say Gay&#39; bill | LiveNOW from FOX,"Florida Gov. Ron DeSantis spoke about Disney's opposition to the Parental Rights in Education bill, also labeled by critics as the ...",LiveNOW from FOX,2022-03-29T17:14:38Z,aXC8Wr5O-4k
