videoId,title,description,channelTitle,publishedAt,videoId
6E8S6I-m_hg,Gov.-elect Gretchen Whitmer&#39;s acceptance speech,"Former state Sen. Gretchen Whitmer, a Democrat, will be Michigan's next governor. (Nov. 6, 2018)",WOOD TV8,2018-11-07T04:04:32Z,6E8S6I-m_hg
3Bj9gi0uqh8,Watch: Michigan Gov. Gretchen Whitmer speaks following re-election win,Michigan Gov. Gretchen Whitmer spoke from Motor City Casino.,Click On Detroit | Local 4 | WDIV,2022-11-09T13:26:08Z,3Bj9gi0uqh8
Sfj2ZzPGsxE,Governor Gretchen Whitmer – University of Michigan 2019 Commencement,For full remarks: myumi.ch/6jA1l.,University of Michigan,2019-05-04T16:33:35Z,Sfj2ZzPGsxE
ldANYkDRhpQ,Democrat incumbent Gretchen Whitmer: &#39;Feeling damn good about&#39; Michigan  governor results,Incumbent Democrat Gov. Gretchen Whitmer is confident about the results but did not claim outright victory overnight. Republican ...,13 ON YOUR SIDE,2022-11-09T06:16:44Z,ldANYkDRhpQ
dpPC7rDWgpo,Gretchen Whitmer gives victory speech after beating Tudor Dixon in race for governor,Gretchen Whitmer gives victory speech after beating Tudor Dixon in race for governor. https://www.fox17online.com/,FOX 17 WXMI,2022-11-09T17:34:44Z,dpPC7rDWgpo
Gre6vD2MH5E,Gretchen Whitmer elected Michigan governor,"Democrat Gretchen Whitmer has won the race for Michigan governor, defeating Bill Schuette and upending years of Republican ...",WOOD TV8,2018-11-07T04:17:03Z,Gre6vD2MH5E
i8pyMzrIbzo,Gov. Whitmer launches PAC to help Dems win in 2024 elections,Gov. Gretchen Whitmer (D-MI) joins MSNBC's Lawrence O'Donnell to explain how Michigan Democrats have used their ...,MSNBC,2023-06-16T03:30:10Z,i8pyMzrIbzo
AibQZGjEW0I,Governor Gretchen Whitmer | Gun violence in Michigan communities,"Question from Philip Quansah, a cognitive science major at the School of LSA: I'm a research assistant for the Institute of Firearm ...",Ford School of Public Policy,2023-05-16T20:35:58Z,AibQZGjEW0I
kJ8XPPQICcg,Whitmer addresses reports of husband&#39;s call to dock,"During a press conference Tuesday afternoon, Gov. Gretchen Whitmer described her husband's comments, in which he asked if ...",WOOD TV8,2020-05-26T19:34:40Z,kJ8XPPQICcg
-7S-vBXxm7Q,Gov. Gretchen Whitmer announces Michigan is dropping all COVID-19 restrictions on June 22,"Michigan Gov. Gretchen Whitmer announced the state is dropping all COVID-19-related restrictions on June 22, more than a week ...",WXYZ-TV Detroit | Channel 7,2021-06-17T21:28:34Z,-7S-vBXxm7Q
gbpQt5PN8mY,Gov. Gretchen Whitmer talks Michigan roads ahead of State of the State address,Michigan Gov. Gretchen Whitmer invited Local 4 to ride along with her as she discussed the state's crumbling roads with officials ...,Click On Detroit | Local 4 | WDIV,2020-01-29T22:50:38Z,gbpQt5PN8mY
rdnQycq4tg8,Michigan Governor Gretchen Whitmer Announces Covid Vaccine Lottery Winners,Michigan Governor Gretchen Whitmer announced winners from the state's vaccine lottery. Stay Connected Forbes on Facebook: ...,Forbes Breaking News,2021-07-15T20:01:31Z,rdnQycq4tg8
njcslrqBI4E,Michigan Gov. Whitmer speaks on six men charged with conspiring to kidnap her —10/8/2020,"Six men have been charged by federal authorities with allegedly plotting to kidnap Michigan Gov. Gretchen Whitmer, court papers ...",CNBC Television,2020-10-08T19:10:59Z,njcslrqBI4E
1dQPYKUqxds,MI Healthy Climate Conference - Keynote Address from Governor Gretchen Whitmer,The MI Healthy Climate Plan outlines strategies for Whitmer's administration goal to slash Michigan carbon emissions 52% in ...,Michigan EGLE,2023-04-20T19:19:44Z,1dQPYKUqxds
ILrfhUT2F8A,Governor Gretchen Whitmer | Fact from fiction on social media,"Question from Williams, a master's student in the School of Information: Recent state and national elections have highlighted the ...",Ford School of Public Policy,2023-05-22T15:34:30Z,ILrfhUT2F8A
q_Z9u1pCOgE,Michigan Gov Whitmer speaks to press on attempted kidnapping,Michigan Governor Gretchen Whitmer is expected to speak to press after news of an attempted plot to kidnap her. Subscribe to ...,Fox News,2020-10-08T19:17:26Z,q_Z9u1pCOgE
DSB4z9Wfovo,"WATCH: Gov. Whitmer speaks about investigation into kidnapping plot Lansing, Michigan",Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG Find more from PBS NewsHour at ...,PBS NewsHour,2020-10-08T19:11:59Z,DSB4z9Wfovo
