videoId,title,description,channelTitle,publishedAt,videoId
wnEtl5fO4sU,Biden takes aim at Trump over CNN town hall | Morning in America,"President Biden went after Donald Trump after an appearance at a CNN town hall on Wednesday, with Biden asking for ...",NewsNation,2023-05-11T13:34:18Z,wnEtl5fO4sU
13iMUoK5fRA,"Biden says he will beat Trump, issues warning to gun makers | CNN town hall","During a CNN town hall in Las Vegas, Nevada, former president Joe Biden explains how he'd stop foreign election interference ...",CNN,2020-02-21T04:45:20Z,13iMUoK5fRA
8bEQsQjDj3k,Biden pitching legislative agenda at town hall,President Biden heads to Maryland on Thursday to make another public push for his infrastructure and social spending plans after ...,CBS News,2021-10-21T15:36:34Z,8bEQsQjDj3k
81bzoO9Qy9A,Joe Biden shares story of faith with pastor who lost his wife in Charleston shooting,"During a CNN Democratic town hall in Charleston, South Carolina, former Vice President Joe Biden addresses how he would use ...",CNN,2020-02-27T06:48:52Z,81bzoO9Qy9A
fwVYe31BMgw,President Biden asked if he is open to altering the filibuster. Hear his reply,"In a CNN Town Hall, Anderson Cooper asks President Joe Biden if he would be open to altering the filibuster and discusses ...",CNN,2021-10-22T04:07:13Z,fwVYe31BMgw
CmCp6Z54GYU,&#39;Come to the altar moment&#39;: Biden teases (then praises) Fox News hosts,"President Biden joked about Fox News hosts who recently promoted the Covid-19 vaccines, but then ultimately said it's good as ...",CNN,2021-07-22T15:56:00Z,CmCp6Z54GYU
xMZrbbnWGwI,AFT Members at Town Hall with Vice President Joe Biden,"On May 28, 2019, AFT president Weingarten joined Houston teachers and school staff engaged with Vice President Joe Biden at ...",AFTHQ,2019-06-14T21:08:42Z,xMZrbbnWGwI
LcXkp0c07SY,"Biden Talks Vaccines, Covid Aid, And His Agenda At Town Hall | The 11th Hour | MSNBC","Leaving Washington and heading to Wisconsin, Biden talked about the pandemic, his agenda, Trump's impeachment and his ...",MSNBC,2021-02-17T06:26:08Z,LcXkp0c07SY
difvq_Ogkq8,Biden asked about where Sinema stands on issues. Hear his reply,President Joe Biden and CNN's Anderson Cooper discuss Sen. Kyrsten Sinema's stance on issues around the President's plan.,CNN,2021-10-22T01:58:17Z,difvq_Ogkq8
5P4-tdSeUmg,President Biden&#39;s YouTube Town Hall on COVID-19 Vaccination,"President Biden and Dr. Fauci spoke with creators Manny Mua, Brave Wilderness, and Jackie Aina to answer your questions ...",The White House,2021-05-24T16:00:33Z,5P4-tdSeUmg
