videoId,title,description,channelTitle,publishedAt,videoId
MGLEaFrrQeE,Jordan Klepper and Gov. Gretchen Whitmer Talk Policy and Drink Beer | The Daily Show,Jordan Klepper returns to his home state of Michigan to have a beer with Governor Gretchen Whitmer and discuss the future of ...,The Daily Show,2023-04-20T03:23:17Z,MGLEaFrrQeE
x1v3aIaPd9A,Michigan Gov. Gretchen Whitmer: ‘Bidenomics is working and I think people are going to see it’,President Biden is taking an economic victory lap as his 'Bidenomics' has resulted in low unemployment and falling inflation.,MSNBC,2023-06-29T03:00:23Z,x1v3aIaPd9A
tlLogt-aJ4k,Gov. Gretchen Whitmer: &quot;That woman from Michigan&quot;,"In her first term, Michigan's Democratic Governor Gretchen Whitmer weathered the ire of MAGA Republicans and the former ...",CBS Sunday Morning,2023-03-26T14:17:00Z,tlLogt-aJ4k
dZYrYlzkx0g,&#39;A significant sentence&#39;: Gov. Whitmer on fate of men who plotted to kidnap her,Michigan Gov. Gretchen Whitmer sits down with CNN's Kaitlan Collins to discuss her plans for her second term as governor and ...,CNN,2023-01-02T14:16:04Z,dZYrYlzkx0g
a4_Iqlaw58U,One-on-one with Michigan Gov. Gretchen Whitmer,Live interview with Michigan governor on domestic terror plot and pandemic.,Click On Detroit | Local 4 | WDIV,2020-10-18T12:47:37Z,a4_Iqlaw58U
u9_-5j_pJn8,Gov. Gretchen Whitmer - What Michigan Needs to Fight Coronavirus | The Daily Social Distancing Show,"Michigan Governor Gretchen Whitmer talks to Trevor about her state's unique struggles with the coronavirus outbreak, and her ...",The Daily Show,2020-04-02T03:15:00Z,u9_-5j_pJn8
cNWGtFCZbn4,Checking in on Gov. Gretchen Whitmer&#39;s promises 6 months after State of the State,Devin Scillian sat down with Michigan Gov. Gretchen Whitmer six months after her State of the State address.,Click On Detroit | Local 4 | WDIV,2023-07-25T21:58:34Z,cNWGtFCZbn4
ImUl5tGv16Y,Gov. Whitmer: The people have spoken—and they expect abortion rights,"Gov. Gretchen Whitmer on abortion rights in the wake of a Texas judge's ruling to reverse FDA approval of an abortion drug: ""This ...",MSNBC,2023-04-11T01:39:12Z,ImUl5tGv16Y
sCH7n6v4KUg,Meet the Candidates | Gretchen Whitmer,David Nicholas is welcomed by Gretchen Whitmer (D) candidate for MI Governor on this installment of WCMU's Meet the ...,WCMU Public Media,2022-10-24T00:00:15Z,sCH7n6v4KUg
0tvXkjg7mns,"Gov. Whitmer: The Biden WH focused on solving problems, not culture wars","Gov. Gretchen Whitmer, D-Mich., discusses President Biden's re-election campaign. » Subscribe to MSNBC: ...",MSNBC,2023-04-26T18:30:02Z,0tvXkjg7mns
Y55qqBZ7E-c,FOX 17&#39;s full interview with Governor Gretchen Whitmer,FOX 17's full interview with Michigan Governor Gretchen Whitmer.,FOX 17 WXMI,2022-11-01T20:26:47Z,Y55qqBZ7E-c
pVvkcIR5Ax8,"Jen Psaki and Gov. Whitmer talk gun safety, abortion rights and presidential politics","Governor Gretchen Whitmer joins Jen Psaki to discuss gun reform and abortion rights in the state of Michigan, and her political ...",MSNBC,2023-04-06T15:30:20Z,pVvkcIR5Ax8
h6AdFjC-4SY,One-on-one with Gov. Gretchen Whitmer ahead of Michigan Midterm Election,"Our Brian Abel sat down one-on-one with Gov. Gretchen Whitmer, who is seeking a second term against Republican candidate ...",WXYZ-TV Detroit | Channel 7,2022-11-01T12:09:38Z,h6AdFjC-4SY
fztuBRnjaVQ,Gov. Gretchen Whitmer: President Donald Trump&#39;s Speech Full Of &#39;Just Talk&#39; | Morning Joe | MSNBC,"Gov. Gretchen Whitmer, D-Mich., delivered the Democrats' official SOTU rebuttal on Tuesday, and Gov. Whitmer joins Morning ...",MSNBC,2020-02-05T14:00:11Z,fztuBRnjaVQ
52reuLDu6_w,"Gretchen Whitmer, Tudor Dixon squared off in second debate in Rochester Hills",The race for Michigan governor heated up Tuesday in Rochester Hills as Gretchen Whitmer and Republican challenger Tudor ...,Click On Detroit | Local 4 | WDIV,2022-10-26T03:36:00Z,52reuLDu6_w
zN-s6o5m2K0,Gov. Gretchen Whitmer: We have to compete to keep car makers in Michigan,"CNBC's Scott Cohn joins 'Halftime Report' with Michigan Governor Gretchen Whitmer, she discusses Ford moving business to ...",CNBC Television,2022-07-06T18:44:48Z,zN-s6o5m2K0
g9EbPSh0uhA,"&#39;It&#39;s depraved, it&#39;s dangerous&#39;: Gov. Whitmer on Anti-Semitic comments made by Michigan GOP ","Gov. Gretchen Whitmer of Michigan discusses the state's proposed gun legislation on Morning Joe, expressing concern over ...",MSNBC,2023-03-24T14:30:13Z,g9EbPSh0uhA
HFgJQsYivz0,Flashpoint 7/8/18: How gubernatorial candidate Gretchen Whitmer answers critics,,Click On Detroit | Local 4 | WDIV,2018-07-08T14:49:32Z,HFgJQsYivz0
YPQcWEX7LMo,Gov. Gretchen Whitmer says she&#39;s &quot;incensed&quot; after Supreme Court overturns Roe v. Wade,"Michigan Gov. Gretchen Whitmer, a Democrat, spoke with CBS News' Errol Barnett and Anne-Marie Green after the Supreme ...",CBS News,2022-06-24T18:30:47Z,YPQcWEX7LMo
_u7pPJkWHr0,Michigan Gov. Gretchen Whitmer on managing the COVID-19 crisis,States across the country continue to grapple with the economic fallout of COVID-19 as they plan the rollout of vaccinations.,PBS NewsHour,2020-12-22T23:29:19Z,_u7pPJkWHr0
UaOMbIigQrA,Gretchen Whitmer &amp; Tudor Dixon debate public education in Michigan,"Michigan Gov. Gretchen Whitmer and GOP Gubernatorial Candidate Tudor Dixon both debated education on Tuesday night, just ...",WXYZ-TV Detroit | Channel 7,2022-10-25T23:39:55Z,UaOMbIigQrA
T6ukdb5ARpo,"Previewing Michigan&#39;s gubernatorial race: One-on-one with Gretchen Whitmer, Tudor Dixon","The midterm election is Tuesday, and the most-watched statewide race is the one for governor. Incumbent Democrat Gretchen ...",WXYZ-TV Detroit | Channel 7,2022-11-04T14:09:36Z,T6ukdb5ARpo
gNbr3iW4iaE,#MIWomenWednesday: Governor Gretchen Whitmer,"Next up on #MIWomenWednesday, a campaign to celebrate Michigan's trail-blazers, ceiling-busters and ladder-builders: ...",Michigan Women's Commission,2022-01-05T16:06:55Z,gNbr3iW4iaE
RRWooWqQtf8,GVSU Press Conference with Governor Gretchen Whitmer,GVSU Press Conference with Governor Gretchen Whitmer.,GVSU,2020-02-12T15:34:52Z,RRWooWqQtf8
h-yoKtpd_Y4,Q &amp; A with Governor Whitmer,"Hank Winchester sits down for an interview with Gov. Gretchen Whitmer, with the road tax being a hot topic.",Click On Detroit | Local 4 | WDIV,2019-04-01T03:28:56Z,h-yoKtpd_Y4
fw89qmAOfTY,Full Whitmer &amp; Bel Edwards: &#39;Everybody&#39;s Struggling To Get These Items&#39; For Aid | Meet The Press,Gov. Gretchen Whitmer (D-Mich.) and Gov. John Bel Edwards (D-La.) join Meet the Press for a join interview to talk about how ...,NBC News,2020-03-29T16:11:34Z,fw89qmAOfTY
WkECDiWLtiM,Gretchen Whitmer &amp; Tudor Dixon debate rising inflation &amp; share ways to help,"Michigan Gov. Gretchen Whitmer and GOP Gubernatorial Candidate Tudor Dixon both debated inflation on Tuesday night, just ...",WXYZ-TV Detroit | Channel 7,2022-10-25T23:26:07Z,WkECDiWLtiM
