videoId,title,description,channelTitle,publishedAt,videoId
BL4oK0_-bJc,"At virtual town hall, Whitmer stresses importance of staying home","Gov. Gretchen Whitmer joined WOOD TV8 for a virtual town hall Thursday, answering citizens' questions from email, video calls ...",WOOD TV8,2020-03-27T03:16:01Z,BL4oK0_-bJc
iTjVh6Ri4iI,Governor Whitmer signs red flag gun law Monday; here&#39;s what it means,"Michigan Gov. Gretchen Whitmer signed bills Monday that will enact red flag gun laws in the state, the latest in a series of bills ...",WXYZ-TV Detroit | Channel 7,2023-05-22T21:16:21Z,iTjVh6Ri4iI
YwElUitSGm0,Whitmer wants 70-day extension to COVID-19 emergency,Gov. Gretchen Whitmer has asked the Legislature to extend Michigan's state of emergency linked to the coronavirus for another ...,WOOD TV8,2020-04-03T22:01:55Z,YwElUitSGm0
EubyLEXSZWM,Michigan Governor Gretchen Whitmer On Coronavirus Precautions | Stephanie Ruhle | MSNBC,Watch Governor Gretchen Whitmer of Michigan join Stephanie Ruhle to discuss how she's handling the spread of the coronavirus.,MSNBC,2020-03-17T15:14:47Z,EubyLEXSZWM
qbmZqACMTcY,Monday Town Hall Segment One,Lt. Governor joins our town hall to discuss the yellow zone in most of Erie county.,WGRZ-TV,2020-11-09T23:22:10Z,qbmZqACMTcY
OPT3VSCe4Rg,Gov. Whitmer pleads for unity in State of the State,Michigan Gov. Gretchen Whitmer has sought “common ground” with the Republican-led Legislature in her third annual State of ...,WOOD TV8,2021-01-28T04:38:11Z,OPT3VSCe4Rg
ZEmw749sdqc,Gov. Whitmer speaks to Local 4 about coronavirus in Michigan,Gov. Whitmer was live on Local 4 to talk about coronavirus in Michigan.,Click On Detroit | Local 4 | WDIV,2020-03-27T21:52:23Z,ZEmw749sdqc
qduoV1Z2ZAk,"Whitmer extends stay-home order through May 15, eases rules","Gov. Gretchen Whitmer on Friday lengthened her stay-at-home order through May 15, while lifting restrictions so some businesses ...",WOOD TV8,2020-04-24T17:01:59Z,qduoV1Z2ZAk
sZbMyWSHj1U,Gov. Whitmer addresses plot to kidnap her,"Several men face charges for allegedly plotting to kidnap Gov. Gretchen Whitmer, going so far as to watch her vacation home and ...",WOOD TV8,2020-10-08T19:19:08Z,sZbMyWSHj1U
Zh4mObf42j0,Whitmer says administration will use other authority for coronavirus orders,Gov. Gretchen Whitmer discusses the recent Michigan Supreme Court ruling that struck down her executive orders regarding ...,WOOD TV8,2020-10-06T17:16:31Z,Zh4mObf42j0
sa1UF1pYNM4,Flashpoint Interview: Michigan Gov. Whitmer talks state&#39;s COVID response plan,Michigan Governor Gretchen Whitmer joins us on Flashpoint this week to discuss the state's response to the COVID-19 surge.,Click On Detroit | Local 4 | WDIV,2022-01-09T15:53:52Z,sa1UF1pYNM4
8kDBB9NjduY,"Whitmer, Benson briefing on November election - Oct. 6, 2020","Twenty-eight days from Election Day, Michigan Gov. Gretchen Whitmer and Secretary of State Jocelyn Benson held a press ...",WOOD TV8,2020-10-06T17:38:12Z,8kDBB9NjduY
FgHUxmRu6uo,2 On Your Side Town Hall on Western New York restaurants still struggling to find enough workers pos,Restaurants still struggling to find staff.,WGRZ-TV,2023-07-20T23:25:13Z,FgHUxmRu6uo
yZn129dMlmU,Town Hall: Migrants coming to WNY,Chautauqua County Executive PJ Wendel The governor specifically mentioned Jamestown today as a place where migrants are ...,WGRZ-TV,2023-05-15T22:33:29Z,yZn129dMlmU
CQJVwb8whvU,Monday Virtual Town Hall Segment One,"Lt. Kathy Hochul joins our virtual town hall, to discuss reopening guidelines.",WGRZ-TV,2020-04-27T22:01:32Z,CQJVwb8whvU
XfevV0FbIe0,Flashpoint (Segment 2),Michigan Gov. Gretchen Whitmer makes an appearance on Flashpoint to discuss her first budget.,Click On Detroit | Local 4 | WDIV,2019-03-03T15:41:30Z,XfevV0FbIe0
cpKCWcpLjAA,"Why Michigan doesn&#39;t have COVID-19 restrictions, mandates despite case spike",Gov. Gretchen Whitmer explains why she hasn't implemented any COVID-19 mandates despite record case rates.,FOX 2 Detroit,2022-01-11T23:16:50Z,cpKCWcpLjAA
L7DtBNem-NU,Thursday Virtual Town Hall Segment One,Kathy Hochul was live saying Erie County will not reopen tomorrow.,WGRZ-TV,2020-05-14T22:01:14Z,L7DtBNem-NU
_Bn7Nix935Q,"Whitmer discusses COVID-19 latest, masks in schools","(Sept. 2, 2021)",WOOD TV8,2021-09-02T21:40:22Z,_Bn7Nix935Q
dxR9JMhUuZc,No action on emergency extension request in Michigan,Gov. Whitmer has asked the Legislature to extend the state of emergency Michigan is under until May 28. A vote on that did not ...,WOOD TV8,2020-04-29T22:41:25Z,dxR9JMhUuZc
Tyj92LlEjsU,‘MI Safe Start’ plan will relaunch businesses in waves,"Gov. Gretchen Whitmer on Monday announced the MI Safe Start plan for economic reengagement, saying it would be an ...",WOOD TV8,2020-04-27T22:30:43Z,Tyj92LlEjsU
11bOZHbzliQ,Governor Whitmer on Mask Enforcement | One Detroit Clip,What we do today will determine whether or not we're in a position to reengage in the fall.” Christy talks with Governor Whitmer ...,One Detroit,2020-07-17T14:55:34Z,11bOZHbzliQ
rDCY8R7Q6aI,Town Hall: The nursing shortage in New York,"Emily Jerge, director of Nursing Simulation and Clinical Practice Center at D'Youville University, talked about what's being done to ...",WGRZ-TV,2023-05-17T22:46:57Z,rDCY8R7Q6aI
