videoId,title,description,channelTitle,publishedAt,videoId
mi8N5gDVpeg,ENGLISH SPEECH | BARACK OBAMA: Yes We Can (English Subtitles),Learn English with the former US President Barack Obama on Election Night Victory Speech at Grant Park in Chicago 2008 ...,English Speeches,2017-11-11T02:33:12Z,mi8N5gDVpeg
ZNYmK19-d0U,President Obama on Death of Osama bin Laden,"President Obama praises those Americans who carried out the operation to kill Osama bin Laden, tells the families of the victims ...",The Obama White House,2011-05-02T04:35:44Z,ZNYmK19-d0U
U9vktLAmvCE,Barack Obama touts the virtue of change (Entire speech),Former President Barack Obama spoke at the Bill and Melinda Gates Foundation Goalkeepers 2017 event and talked about why ...,CNN,2017-09-20T20:04:22Z,U9vktLAmvCE
4ZNWYqDU948,Watch first lady Michelle Obama’s full speech at the 2016 Democratic National Convention,,PBS NewsHour,2016-07-26T02:34:39Z,4ZNWYqDU948
ZQco0ScAJRg,President Obama on Early Childhood Education,"The President explains why high-quality preschool is the best bang for our education bucks. February 14, 2013.",The Obama White House,2013-02-14T23:38:26Z,ZQco0ScAJRg
WyIx1qan3v8,The 3 most important parts of Obama&#39;s emotional speech in Selma,"President Barack Obama spoke in Selma, Alabama on Saturday to commemorate the 50th anniversary of Bloody Sunday, the day ...",Vox,2015-03-08T00:20:28Z,WyIx1qan3v8
BJcvz-xDSvc,Barack Obama&#39;s entire Memorial Day speech,President Barack Obama paid tribute to U.S. military personnel and their families in his final Memorial Day speech as ...,CNN,2016-05-30T23:26:54Z,BJcvz-xDSvc
Z62Z5a76iG8,Barack Obama gives a speech after the unveiling of his White House portrait,Former President Barack Obama returned to the White House with former First Lady Michelle Obama for the unveiling of their ...,CNN,2022-09-07T19:39:01Z,Z62Z5a76iG8
SggOsfjsL0c,President Obama Speaks at a Memorial Service for Nelson Mandela,President Obama delivers remarks at a national memorial service for former South African President Nelson Mandela. December ...,The Obama White House,2013-12-10T17:31:30Z,SggOsfjsL0c
08_YlazeNdE,See top moments from Obama&#39;s speech,"A few of the best moments from President Obama's speech to announce the ""My Brother's Keeper"" initiative.",CNN,2014-02-27T23:41:13Z,08_YlazeNdE
ta5anRPf8rQ,Obama&#39;s Virtual Commencement Speech To Class Of 2020: &#39;This Is Your Generation&#39;s World To Shape&#39;,"At the 'Graduate Together' special, former President Barack Obama tells graduating seniors to ""set the world on a different path"" ...",NBC News,2020-05-17T01:42:19Z,ta5anRPf8rQ
NGEvASSaPyg,President Barack Obama&#39;s Commencement Speech | Dear Class Of 2020,"President Obama shares a message of optimism with the Class of 2020 as a part of ""Dear Class of 2020,” a virtual ...",Obama Foundation,2020-06-07T23:00:57Z,NGEvASSaPyg
CzII3W2MLYY,Barack Obama Inspirational Speech,Barack Obama Inspirational Speech - An Advice to Entrepreneurs This speech is given by Barack Obama at the Academy of ...,Corporate Valley,2013-07-14T01:25:50Z,CzII3W2MLYY
AeROxJ-DOJU,Lessons from the 2004 Democratic Convention: Obama&#39;s Speech| Retro Report,"In 2004, Barack Obama, then a relatively obscure state senator from Illinois, gave the keynote address at the Democratic ...",RETRO REPORT,2016-07-26T21:34:25Z,AeROxJ-DOJU
