videoId,title,description,channelTitle,publishedAt,videoId
yd7hqdeJaLU,See how Trump responded to his fourth indictment,"Former President Donald Trump said he will hold a ""major news conference"" at his golf club in Bedminster, New Jersey, during ...",CNN,2023-08-15T16:58:55Z,yd7hqdeJaLU
6g1-PFaFQ1I,Georgia DA’s full news conference on Trump’s indictment,Fulton County District Attorney Fani Willis (D) announced criminal charges for former president Donald Trump and 18 others on ...,Washington Post,2023-08-15T04:58:33Z,6g1-PFaFQ1I
Jnl050XMLow,Live: President Donald Trump Holds News Conference | NBC News,President Donald Trump holds a news conference from the Rose Garden at the White House. » Subscribe to NBC News: ...,NBC News,2020-05-29T19:12:07Z,Jnl050XMLow
cCJ4d_AsfYg,Michael Cohen: This is the mistake Trump is making in his Georgia case,CNN's Kaitlan Collins speaks with former President Donald Trump's one-time attorney and fixer Michael Cohen about Trump's ...,CNN,2023-08-22T02:36:41Z,cCJ4d_AsfYg
gScbr9wSZOU,See how Trump reacted to Romney&#39;s announcement on social media,Former President Donald Trump reacted to Sen. Mitt Romney's (R-UT) announcement that he will not seek reelection with a post ...,CNN,2023-09-13T23:39:32Z,gScbr9wSZOU
h60nXlSEPfY,President Donald Trump Attacks Media In Post-Midterms Press Conference | Hardball | MSNBC,Yamiche Alcindor joins Hardball to talk about her question to President Trump during Wednesday's press conference.,MSNBC,2018-11-08T01:32:19Z,h60nXlSEPfY
bZrE5gMZHsU,Joint Press Conference with US President Donald Trump,PM Lee Hsien Loong held a Joint Press Conference with US President Donald Trump at the White House on 23 October 2017.,"Prime Minister's Office, Singapore",2017-10-23T22:01:33Z,bZrE5gMZHsU
Rayde7Uh1Pc,President Donald Trump Creates His Own Narrative At NATO Press Conference | Morning Joe | MSNBC,"Lawrence O'Donnell, Robert Costa and Doris Kearns Goodwin join Morning Joe for a discussion about President Trump's trip to ...",MSNBC,2018-07-12T16:16:36Z,Rayde7Uh1Pc
qj2Lonk2Qz4,"Fulton County DA Fani Willis speaks after indicting Donald Trump, 18 others","Fulton County, Georgia District Attorney Fani Willis addressed the press about a grand jury's indictment of Donald Trump and 18 ...",ABC 7 Chicago,2023-08-15T04:17:37Z,qj2Lonk2Qz4
GVjHgz8xxa0,President Donald Trump Goes After Own Party At Press Conference | Katy Tur | MSNBC,President Trump had confrontations with multiple members of the media to the point were a White House aide tried to physically ...,MSNBC,2018-11-07T20:46:43Z,GVjHgz8xxa0
