videoId,title,description,channelTitle,publishedAt,videoId
a0bLCkjEHMk,"Michigan Gov. Whitmer March 11, 2020 Press Conference about COVID-19","Michigan Gov. Whitmer March 11, 2020 Press Conference about COVID-19.",Michigan HHS,2020-03-12T19:15:13Z,a0bLCkjEHMk
0asd63B-s30,Gov. Gretchen Whitmer works on plan to reopen Michigan,Michigan Gov. Gretchen Whitmer will hold a news conference Wednesday afternoon to address the state's response to the ...,Click On Detroit | Local 4 | WDIV,2020-04-22T16:10:06Z,0asd63B-s30
zkkcQ41CNHo,"Michigan Gov. Gretchen Whitmer extends stay-at-home order, with loosened restrictions","The stay-at-home order, issued to stop the spread of the coronavirus (COVID-19), has been extended through May 15.",Click On Detroit | Local 4 | WDIV,2020-04-24T16:09:11Z,zkkcQ41CNHo
