videoId,title,description,channelTitle,publishedAt,videoId
MJWMubz9tXM,JD Vance: This is why the left believes I’m a ‘threat to democracy’,Ohio Senate candidate JD Vance discusses why some Democratic leaders believe 'anti-establishment' candidates threaten ...,Fox News,2022-11-04T10:30:06Z,MJWMubz9tXM
peQIvaTA_T4,Tim Ryan And JD Vance Face Off In Tuesday Town Hall,"Ohio Democratic Senate candidate, Rep. Tim Ryan, on Tuesday during a Fox News town hall discussed killing and confronting ...",MSNBC,2022-11-02T15:30:10Z,peQIvaTA_T4
osWEJXVMSgE,Republican U.S. Senate candidate J.D. Vance,Republican U.S. Senate candidate J.D. Vance joined Lindsay McCoy during 21 News 5 P.M. to talk about the issues facing ...,WFMJ,2022-09-08T00:00:19Z,osWEJXVMSgE
chYigRBxGA8,Sen. JD Vance questions officials on Ohio train derailment during US Senate Committee,Last month's toxic Ohio train derailment in East Palestine was the focus of a hearing Wednesday before the U.S. Senate ...,WKYC Channel 3,2023-03-22T16:52:16Z,chYigRBxGA8
JMKkNL-9zj8,JD Vance wins GOP nomination for Ohio US Senate,JD Vance wins GOP nomination for Ohio US Senate Subscribe to WLWT on YouTube now for more: http://bit.ly/1ipUX3c Get more ...,WLWT,2022-05-04T02:19:44Z,JMKkNL-9zj8
miXPh2Jl7GQ,"J.D. Vance:  In addition to paying nation&#39;s debts, we should put the country on a pathway back","Sen. J.D. Vance, R-Ohio, on the impending White House meeting between Speaker McCarthy and President Biden. Subscribe to ...",Fox Business,2023-02-01T12:30:21Z,miXPh2Jl7GQ
