videoId,title,description,channelTitle,publishedAt,videoId
zlgyufCzBSQ,Attorney grills Marjorie Taylor Greene about her false stolen election remarks,Republican Rep. Marjorie Taylor Greene of Georgia testified under oath for three hours Friday at an unprecedented ...,CNN,2022-04-23T11:08:19Z,zlgyufCzBSQ
A1UFHnRg4xw,Marjorie Taylor Greene apologizes for Holocaust remark,Rep. Majorie Taylor Greene (R-GA) said that her remarks comparing masks mandates and vaccination passports to the Holocaust ...,CNN,2021-06-15T00:06:49Z,A1UFHnRg4xw
ob1RaFO5CJo,Marjorie Taylor Greene advocates for &#39;national divorce&#39;,"Rep. Marjorie Taylor Greene (R-GA) advocated for a ""national divorce"" between red and blue US states. CNN's Abby Phillip and a ...",CNN,2023-02-26T16:56:06Z,ob1RaFO5CJo
JTfzEM7THiY,Everything You Need to Know About Marjorie Taylor Greene | The Daily Social Distancing Show,"Get to know Rep. Marjorie Taylor Greene: how she got to Congress, her ties to QAnon, her racist theories and her recent ...",The Daily Show,2021-02-02T04:28:13Z,JTfzEM7THiY
r_aZ9llE2GU,Full panel: House Freedom Caucus ousts Rep. Marjorie Taylor Greene (R-Ga.),"CAP: Sahil Kapur, Svante Myrick, and Sarah Chamberlain join the Meet the Press NOW roundtable to discuss the details of Rep.",NBC News,2023-07-07T22:30:11Z,r_aZ9llE2GU
