videoId,title,description,channelTitle,publishedAt,videoId
wOPkbN8NuFM,Rep. Alexandria Ocasio-Cortez Calls Out Republican&#39;s &quot;Wokeism&quot; Term,"Rep. Alexandria Ocasio-Cortez talks about a lack of productivity after Kevin McCarthy was elected Speaker of the House, ...",Late Night with Seth Meyers,2023-04-05T11:00:46Z,wOPkbN8NuFM
A6cv-XNwXBk,Members Who Sought Pardons Should Be Expelled From The House - Rep. Ocasio-Cortez,Rep. Alexandria Ocasio-Cortez returns to The Late Show for a three-part interview that begins with her assessment of today's Jan.,The Late Show with Stephen Colbert,2022-06-29T07:42:03Z,A6cv-XNwXBk
R6reyiSpKuw,Everything Alexandria Ocasio-Cortez Does In a Day | Vanity Fair,Congresswoman Alexandria Ocasio-Cortez takes us through everything she does in a day. From introducing new bills to ...,Vanity Fair,2020-10-28T11:00:03Z,R6reyiSpKuw
T8s2vqUqYCg,Rep. Alexandria Ocasio-Cortez Talks Trump&#39;s Arraignment and GOP Defending Him,"Rep. Alexandria Ocasio-Cortez shares her thoughts on Trump's indictment and arraignment, calls out the lack of a formal due ...",Late Night with Seth Meyers,2023-04-05T11:00:22Z,T8s2vqUqYCg
2f4gMQd_9Hs,Rep. Ocasio-Cortez And Stephen Eat Ben &amp; Jerry&#39;s,Rep. Alexandria Ocasio-Cortez tells Stephen about her first few weeks in Congress over a couple pints of ice cream. Subscribe To ...,The Late Show with Stephen Colbert,2019-01-22T08:35:00Z,2f4gMQd_9Hs
qUa9y27YB2s,Alexandria Ocasio-Cortez reacts to Texas judge&#39;s abortion pill ruling,Rep. Alexandria Ocasio-Cortez (D-NY) explains to CNN's Anderson Cooper why she believes the Biden administration should ...,CNN,2023-04-08T01:15:29Z,qUa9y27YB2s
xIhCY9Z5ENs,"AOC &amp; Klepper on Trump, Clarence Thomas &amp; Ending Violence | The Daily Show",Jordan Klepper and Congresswoman Alexandria Ocasio-Cortez meet at Jacobi Medical Center in the Bronx to discuss a program ...,The Daily Show,2023-04-18T02:01:50Z,xIhCY9Z5ENs
Y_1G4_oPt_o,Alexandria Ocasio Cortez: Trump Isn&#39;t Ready For A Girl From The Bronx,"Alexandria Ocasio-Cortez and Donald Trump might both be from New York City, but she doesn't think he knows to deal with a girl ...",The Late Show with Stephen Colbert,2018-06-29T07:35:01Z,Y_1G4_oPt_o
MVEHMMtglUQ,&#39;Profoundly irresponsible&#39;: Ocasio-Cortez rips &#39;atrocious&#39; Trump town hall,"Rep. Alexandria Ocasio-Cortez talks with Alex Wagner about Donald Trump's remarks on January 6, E. Jean Carroll, the 2020 ...",MSNBC,2023-05-11T02:30:09Z,MVEHMMtglUQ
xKpu5g9khtY,Ocasio-Cortez reveals what she said to Paul Gosar on the House floor,Rep. Alexandria Ocasio-Cortez (D-NY) tells CNN's John Berman what she said to Rep. Paul Gosar (R-AZ) on the House floor ...,CNN,2023-02-03T03:32:32Z,xKpu5g9khtY
IjLoHgvBhCI,Rep. Alexandria Ocasio-Cortez Responds to Fox News&#39; Weird Obsession with Her,"Representative Alexandria Ocasio-Cortez talks about congressional hearings, being an object of obsession for Fox News and ...",Late Night with Seth Meyers,2019-03-22T09:00:02Z,IjLoHgvBhCI
