videoId,title,description,channelTitle,publishedAt,videoId
tg2FNynmToM,President Biden Delivers Remarks on Artificial Intelligence,The White House.,The White House,2023-07-21T17:27:46Z,tg2FNynmToM
KCQAaoyrOgk,President Biden Delivers Remarks on the Supreme Court&#39;s Decision on the Student Debt Relief Program,The White House.,The White House,2023-06-30T20:18:21Z,KCQAaoyrOgk
Yz9UWd-ELd4,President Biden Delivers Remarks on Holding Airlines Accountable,President Biden delivers remarks on protecting consumers when there are flight delays or cancellations. The White House.,The White House,2023-05-08T18:17:08Z,Yz9UWd-ELd4
2yQseH__Khw,President Biden Delivers Remarks on the Supreme Court&#39;s Decision on Affirmative Action,The White House.,The White House,2023-06-29T17:09:10Z,2yQseH__Khw
riBLFmZDLzY,President Biden Delivers Remarks on a New Contract Covering America’s West Coast Ports,The President delivers remarks on the International Longshore and Warehouse Union (ILWU) and the Pacific Maritime ...,The White House,2023-09-06T18:36:45Z,riBLFmZDLzY
TbKPuEwkmsw,President Biden Delivers Remarks on the Climate Crisis,"President Biden delivers remarks on his administration's historic action to combat the climate crisis, create good-paying clean ...",The White House,2023-06-19T20:30:08Z,TbKPuEwkmsw
1wRWdc5NUWk,President Biden Delivers Remarks on the August Jobs Report,The White House.,The White House,2023-09-01T16:32:20Z,1wRWdc5NUWk
dKn76fhRI38,President Biden Delivers Remarks on Preventing a First-Ever Government Default,The White House.,The White House,2023-05-17T15:27:42Z,dKn76fhRI38
dLVbVqqsXF8,President Biden Delivers Remarks on the Economy,President Biden delivers remarks on maintaining a resilient banking system and protecting our historic economic recovery.,The White House,2023-03-13T13:11:04Z,dLVbVqqsXF8
rHTGBuGnW-U,President Biden delivers remarks on conservation actions enacted by his administration,Biden #whitehouse #yahoofinance President Joe Biden delivers remarks celebrating the conservation actions that have been ...,Yahoo Finance,2023-05-11T20:27:58Z,rHTGBuGnW-U
sOUbCrot5gE,President Biden Delivers Remarks at the Congressional Hispanic Caucus Institute 46th Annual Gala,"Washington, D.C..",The White House,2023-09-22T00:21:16Z,sOUbCrot5gE
6MmBUjXWbDE,President Biden Delivers Remarks on Junk Fees,President Biden delivers remarks on protecting consumers from hidden junk fees and putting more money back in the pockets of ...,The White House,2023-06-15T18:28:44Z,6MmBUjXWbDE
abtNkswu6_s,President Biden Delivers Remarks Reaffirming his Commitment to Supporting the People of Florida,"Live Oak, FL.",The White House,2023-09-02T22:10:41Z,abtNkswu6_s
9ks6Ifhg6_w,President Biden Delivers Remarks on Continued Support for Ukraine,The White House.,The White House,2023-01-25T17:13:14Z,9ks6Ifhg6_w
rEibBLZXweA,President Biden Delivers Remarks on the United States’ Response to Recent Aerial Objects,The White House.,The White House,2023-02-16T19:24:12Z,rEibBLZXweA
7-gykxhbJak,President Biden Addresses the Nation on Averting Default and the Bipartisan Budget Agreement,The White House.,The White House,2023-06-02T23:17:27Z,7-gykxhbJak
Da0eplfe8ZE,President Biden speaks from the UAW picket line in Michigan,"CNBC's Phil LeBeau joins 'The Exchange' to discuss President Biden's show of support for the UAW strike, Donald Trump's ...",CNBC Television,2023-09-26T17:36:19Z,Da0eplfe8ZE
KPsRiw6910w,President Biden Delivers Remarks with G7 Leaders,"Vilnius, Lithuania.",The White House,2023-07-12T13:38:46Z,KPsRiw6910w
9f60fDgR3Cw,President Biden Delivers Remarks at a Reception Celebrating Historic Conservation Efforts,President Biden delivers remarks celebrating the historic conservation actions that have been enacted by the Biden-Harris ...,The White House,2023-05-11T20:30:55Z,9f60fDgR3Cw
sftNs7r0Tmw,President Biden Delivers Remarks on the February Jobs Report,The White House.,The White House,2023-03-10T16:27:45Z,sftNs7r0Tmw
c9l-qYYMHrM,Watch Biden’s full remarks on passage of bipartisan debt limit deal,President Joe Biden delivered remarks after Congress passed the bipartisan budget agreement that will extend the debt ceiling ...,NBC News,2023-06-03T00:00:12Z,c9l-qYYMHrM
b4EmUtDh0a8,Hear Biden’s full remarks on United States’ continued support for Ukraine,President Joe Biden delivered remarks on Wednesday to reiterate the nation's continued support for Ukraine and announced ...,CNN,2023-01-25T18:30:41Z,b4EmUtDh0a8
