videoId,title,description,channelTitle,publishedAt,videoId
A-FQc3CnkO0,President and Mrs. Obama drop by Chicago Public Schools Town Hall,President and Mrs. Obama dropped by a Chicago Public Schools Student Civics Town Hall where they engaged in a conversation ...,Obama Foundation,2020-05-11T18:05:19Z,A-FQc3CnkO0
9U_7kIZ6wm4,President Obama at a town hall in Minneapolis,"President Obama answered questions at a town hall in Minnehaha Park in Minneapolis, Minnesota.",The Obama White House,2014-06-26T22:28:46Z,9U_7kIZ6wm4
NDVFs2l6-fo,President Obama Answers a Question on Gun Violence During a Tumblr Q&amp;A,"During the first-ever White House Tumblr Q&A, the President answers a question on gun violence.",The Obama White House,2014-06-11T17:49:05Z,NDVFs2l6-fo
g7Luy1h30bI,President Obama: &quot;Everything you do that&#39;s worthwhile requires work.&quot;,"President Obama participates in a My Brother's Keeper town hall on helping more young men of color succeed. July 21, 2014.",The Obama White House,2014-07-21T21:45:25Z,g7Luy1h30bI
K4iQcVRRE7s,Twitter Town Hall w/ President Obama (Review),President Obama took questions in a Town Hall event using Tweets. Michael Shure breaks down some highlights. The Largest ...,The Young Turks,2011-07-07T08:37:55Z,K4iQcVRRE7s
h3q965JnmTU,President Obama speaks at Baton Rouge town hall before taking questions,President Obama speaks at a Baton Rouge town hall before taking questions from the audience. Subscribe to WDSU on YouTube ...,WDSU News,2016-01-14T19:42:52Z,h3q965JnmTU
okODJAmK18I,President Obama Comments on Counterterrorism,President Barack Obama comment on counterterrorismduring his remarks at the Young African Leaders Initiative Town Hall in ...,U.S. Department of State,2013-07-02T21:16:48Z,okODJAmK18I
TY0jH6dk-ew,"President Obama: &quot;If you&#39;re a strong man, you should not feel threatened by strong women.&quot;","President Obama participated at a Young African Leaders Presidential Summit Town Hall in Washington, D.C., July 28, 2014.",The Obama White House,2014-07-29T00:11:28Z,TY0jH6dk-ew
Cod3MfHgywU,President Obama Honors Victims of Mumbai Terror Attack,The President honors those who died as a result of the Mumbai terror attacks and praises the courage and resiliency of the Indian ...,The Obama White House,2010-11-08T15:40:05Z,Cod3MfHgywU
55CM8WWleU0,Eric Garner’s Daughter Felt “Railroaded” During Obama Town Hall,The daughter of Eric Garner was invited to an ABC town hall with President Obama. She is not happy about how she was treated ...,The Young Turks,2016-07-16T05:30:03Z,55CM8WWleU0
