videoId,title,description,channelTitle,publishedAt,videoId
1a7Hyh7owzQ,WATCH: Vivek Ramaswamy Fields Questions From The Press During Iowa Campaign Stop,"At an Iowa campaign stop, GOP Presidential Candidate Vivek Ramaswamy took questions from the press. Fuel your success with ...",Forbes Breaking News,2023-09-08T20:12:51Z,1a7Hyh7owzQ
wMg22PLjQ1I,Vivek Ramaswamy: We’re facing a crisis of historic proportions,GOP presidential candidate Vivek Ramaswamy discusses the border crisis and his 2024 vision for the country on 'Kudlow.,Fox Business,2023-09-26T01:00:33Z,wMg22PLjQ1I
l1JIky6lVTY,&#39;Am I Too Young?&#39;: Vivek Ramaswamy Faces Reporters At Iowa State Fair,"Yesterday, 2024 Republican presidential candidate Vivek Ramaswamy spoke to the press at the Iowa State Fair. Fuel your ...",Forbes Breaking News,2023-08-13T13:00:58Z,l1JIky6lVTY
MHWJBg8XjWE,Vivek Ramaswamy: Trump indictment sets ‘dangerous precedent’  |  On Balance,"Ahead of former President Donald Trump's arraignment in Miami on Tuesday, Republican presidential candidate Vivek ...",NewsNation,2023-06-12T23:44:43Z,MHWJBg8XjWE
IgYWGb4Ewgg,&#39;Let&#39;s Just Be Very Honest About That...&#39;: Vivek Ramaswamy Addresses Zelensky&#39;s Trip To DC,"In remarks to the press on Thursday, Republican presidential candidate Vivek Ramaswamy spoke about Ukrainian President ...",Forbes Breaking News,2023-09-22T11:30:15Z,IgYWGb4Ewgg
9ai5N3mqWt4,Vivek Ramaswamy on Trump&#39;s Indictment in Miami 6.13.23,"Join Vivek Ramaswamy at a pivotal press conference in Miami, Florida, where he fearlessly addresses the politicized actions of ...",Vivek Ramaswamy,2023-06-13T18:42:04Z,9ai5N3mqWt4
vhTMMYxMhh8,Vivek Ramaswamy takes center stage at Republican debate minus Donald Trump,shorts #youtubeshorts #gop #vivek #debate.,WHAS11,2023-08-24T16:48:43Z,vhTMMYxMhh8
G0cBz79W3FY,Vivek Ramaswamy Asked If He Would Continue Giving Funding To Ukraine,"In remarks to the press on Thursday, Republican presidential candidate Vivek Ramaswamy spoke about funding for Ukraine.",Forbes Breaking News,2023-09-21T20:49:00Z,G0cBz79W3FY
CDa0OLUq1I0,Ramaswamy: Pence missed &#39;opportunity for heroism&#39; on Jan. 6,"VivekRamaswamy doubles down on his comments from Sunday's Meet the Press, telling Andrea Mitchell that Mike Pence missed ...",MSNBC,2023-08-30T15:08:40Z,CDa0OLUq1I0
uVWenCqAw9o,"Vivek Ramaswamy, With Candace Owens, Calls For Release Of Tennessee School Shooter&#39;s Manifesto",Presidential candidate Vivek Ramaswamy held a press conference on Wednesday to call for the government to release the ...,Forbes Breaking News,2023-08-02T19:59:41Z,uVWenCqAw9o
ZU4o0HrqfJE,Vivek Ramaswamy Speech Live | Vivek Ramaswamy On Donald Trump | Ramswamy LIVE News | US News LIVE,Vivek Ramaswamy Speech Live | Vivek Ramaswamy On Donald Trump | Ramswamy LIVE News | US News LIVE Vivek ...,CNN-News18,2023-09-25T07:25:55Z,ZU4o0HrqfJE
_SPk-s_FUgM,JUST IN: Vivek Ramaswamy Gives A Speech On How He Plans On &#39;Shutting Down The Administrative State&#39;,"During a domestic policy speech on Wednesday, presidential hopeful Vivek Ramaswamy gave a speech about how he plans to ...",Forbes Breaking News,2023-09-13T16:17:25Z,_SPk-s_FUgM
_4wo4lgB81c,‘We’ve got to run to something’: Vivek Ramaswamy on campaign message,"ABC News' Linsey Davis spoke with GOP presidential candidate Vivek Ramaswamy about his 2024 campaign, his views on ...",ABC News,2023-09-19T02:53:34Z,_4wo4lgB81c
OadNzHQ4q8E,Vivek Ramaswamy: &#39;I Will Say What Nobody Else Is Willing To Say...&#39;,"In remarks to the press on Thursday, Republican presidential candidate Vivek Ramaswamy spoke about his foreign policy ...",Forbes Breaking News,2023-09-21T18:41:30Z,OadNzHQ4q8E
-ZMTd6FzfGI,Vivek Ramaswamy Speech Live | Vivek Ramaswamy On Donald Trump | Ramswamy LIVE News | US News LIVE,Vivek Ramaswamy Speech Live | Vivek Ramaswamy On Donald Trump | Ramswamy LIVE News | US News LIVE Vivek ...,CNN-News18,2023-09-23T17:06:24Z,-ZMTd6FzfGI
13l1W4z8M6Y,Vivek Ramaswamy Responds To Rupert Murdoch Stepping Down From Fox And News Corp,Vivek Ramaswamy responds to Rupert Murdoch stepping down from Fox and News Corp. Fuel your success with Forbes.,Forbes Breaking News,2023-09-21T17:59:44Z,13l1W4z8M6Y
toiiWWFsWOw,Full Ramaswamy: ‘Not everything I say is a policy priority’,"Vivek Ramaswamy, Republican presidential candidate, discusses his stance on birthright citizenship, climate change, the second ...",NBC News,2023-09-22T03:00:28Z,toiiWWFsWOw
