videoId,title,description,channelTitle,publishedAt,videoId
Fhieu6Pwmcg,JD Vance issues stark warning: &#39;This could cause another Great Depression&#39;,"Sen. JD Vance, R-Ohio, discusses Macron and Xi's recent meeting as the French president warns against relying on the U.S. ...",Fox News,2023-04-12T20:15:00Z,Fhieu6Pwmcg
ra2Azj4WdLM,JD Vance: Biden is effectively declaring war on half the country,Ohio Senate candidate J.D. Vance joined 'The Ingraham Angle' to react to President Biden's 'Soul of the Nation' speech.,Fox News,2022-09-02T04:15:02Z,ra2Azj4WdLM
luvMcO5AmXw,Vance addresses supporters after Senate win | Elections 2022,"Ohio Republican J.D. Vance told his supporters ""we just got a great chance to govern and we need to use it"" after defeating ...",NewsNation,2022-11-09T05:06:24Z,luvMcO5AmXw
-ZBoYuC8mJ0,Ryan and Vance go head to head in first debate  |  On Balance,"With many undecided voters in Ohio, Tim Ryan and J.D. Vance are going head to head in their first debate. Podcast host Chris ...",NewsNation,2022-10-11T00:27:58Z,-ZBoYuC8mJ0
