videoId,title,description,channelTitle,publishedAt,videoId
nUGwvTAXrWI,"Town Hall Q&amp;A in Clinton, Iowa | Bernie Sanders","Bernie Sanders gives fired up, thoughtful answers about a $15/hr minimum wage, improving the quality of education, ethics in the ...",Bernie Sanders,2015-12-13T18:43:15Z,nUGwvTAXrWI
qrxhoAd3WVg,Questions in the Quad Cities | Bernie Sanders,Bernie answers questions from Iowans at town hall meeting.,Bernie Sanders,2015-05-30T20:18:49Z,qrxhoAd3WVg
8LIt6nMMVA8,"Bernie Sanders, Cuomo spar over health care","CNN's Chris Cuomo talks with Sen. Bernie Sanders (I-VT) about President Trump's policies, single-payer healthcare and Sanders' ...",CNN,2018-06-08T01:43:37Z,8LIt6nMMVA8
PYvTe0JX0Ao,Bernie Sanders’ Fox News Town Hall: Smart Play Or Democratic Betrayal? | Deadline | MSNBC,"The Daily Beast's Sam Stein, Politico's Anna Palmer, former DOJ spox Matt Miller, and WaPo's Robert Costa on 2020 hopeful Sen.",MSNBC,2019-04-16T22:59:35Z,PYvTe0JX0Ao
6EySxPIlZaM,Bernie Sanders won&#39;t rule out accepting Bloomberg&#39;s money | CNN Town Hall,"During a CNN town hall in Nevada, Sen. Bernie Sanders (I-VT) refused to answer if he would accept financial support from ...",CNN,2020-02-19T01:52:24Z,6EySxPIlZaM
4UPkJRxaTXo,Bernie Sanders&#39; Medicare for All National Town Hall WATCH LIVE HERE,"Senator Bernie Sanders is hosting a national town hall to discuss medicare for all on January 23rd at 7pm eastern, don't miss it ...",The Young Turks,2018-01-12T04:30:01Z,4UPkJRxaTXo
cj7nQHIan2k,Bernie Trolls Wolf Blitzer During CNN Town Hall,The Young Turks discuss Senator Bernie Sanders' CNN town hall. CNN's Wolf Blitzer asks Sanders about running against Trump ...,The Young Turks,2019-02-26T04:55:19Z,cj7nQHIan2k
E9PEsbtoDHs,Bernie Sanders Absolutely Crushed His Fox News Townhall,Senator Bernie Sanders proved on Monday evening that he is definitely the one to beat in the Democratic primary after performing ...,The Ring of Fire,2019-04-16T17:00:00Z,E9PEsbtoDHs
dvNkdakBexU,Bernie Sanders Transforms Trump Supporters Into Liberals (VIDEO),"Bernie Sanders spoke to Trump supporters, and the results were surprising. Cenk Uygur, host of The Young Turks, breaks it down.",The Young Turks,2016-12-14T04:00:00Z,dvNkdakBexU
H-IiRl8msTY,Klobuchar&#39;s story brings mass shooting survivor to tears | CNN Town Hall,"During a CNN town hall in Nevada, Sen. Amy Klobuchar (D-MN) answers how she plans to address gun violence prevention with ...",CNN,2020-02-19T05:00:20Z,H-IiRl8msTY
Oko29qYfwmU,Sen. Bernie Sanders Breaks Down Why Working-Class Voters Flock to Republicans in Red States,Sen. Bernie Sanders talks about the Democratic Party's relationship with the American working class and connecting with striking ...,Late Night with Seth Meyers,2022-01-11T11:00:08Z,Oko29qYfwmU
