videoId,title,description,channelTitle,publishedAt,videoId
cUx3jWT3gQ8,Ron DeSantis victory speech: &#39;Never surrender to the woke mob&#39; | LiveNOW from FOX,Florida Governor Ron DeSantis addressed supporters during his acceptance speech at a rally in Tampa. During the speech ...,LiveNOW from FOX,2022-11-09T02:26:27Z,cUx3jWT3gQ8
ZMVtQfBzmWE,Florida Gov. Ron DeSantis delivers state of the state address,Gov. Ron DeSantis delivered the state of the state address at the start of Florida's 60-day legislative session. CBS News reporter ...,CBS News,2023-03-08T01:23:17Z,ZMVtQfBzmWE
v51Du8T-iEY,"Ron DeSantis with Ed O&#39;Keefe (July 27, 2023)",Get ready for Our Great American Comeback https://rondesantis.com/ ...,Ron DeSantis,2023-08-08T14:51:41Z,v51Du8T-iEY
7LcGRZIrtWQ,Gov. DeSantis highlights culture war agenda in Iowa speeches,"Florida Gov. Ron DeSantis, while speaking in Iowa, referred to his action of sending '50 illegal aliens to beautiful Martha's ...",MSNBC,2023-03-13T13:00:04Z,7LcGRZIrtWQ
JCy-xUgkv6c,UNCUT: Gov. Ron DeSantis&#39; inaugural address,"After taking the oath of office, Florida's 46th governor talks talking about his priorities as he begins his four-year term.",News4JAX The Local Station,2019-01-08T18:29:40Z,JCy-xUgkv6c
N0OrgK9TzHc,Florida Governor Ron DeSantis debuts in Iowa,"Florida Gov. Ron DeSantis made his first appearance in Iowa on Friday, bringing his expected bid for the White House a step ...",ABC 7 Chicago,2023-03-11T01:21:41Z,N0OrgK9TzHc
evsysnk8kbs,Ron DeSantis laying out agenda ahead of potential 2024 presidential run,Florida Gov. Ron DeSantis is delivering his State of the State address Tuesday. He's set to outline his agenda and highlight his ...,CBS News,2023-03-07T18:51:02Z,evsysnk8kbs
