videoId,title,description,channelTitle,publishedAt,videoId
q4WLiF2imfM,Marjorie Taylor Greene dodges Acosta’s questions in street interview,CNN's Jim Acosta questions Rep. Marjorie Taylor Greene (R-GA) on her text to former Trump White House chief of staff Mark ...,CNN,2022-04-30T18:06:14Z,q4WLiF2imfM
lcjsJHF49J4,All of America should see this document: Rep. Marjorie Taylor Greene,"Rep. Marjorie Taylor Greene, R-Ga., discusses the FBI document alleging that Biden received $5 million for a bribe as VP on 'The ...",Fox News,2023-06-10T11:00:27Z,lcjsJHF49J4
hn7tDaRC930,&#39;Embarrassment&#39;: Greene criticized by callers on live show,Georgia GOP Rep. Marjorie Taylor Greene appeared on a live show in her district and received pushback from call-in guests ...,CNN,2022-01-29T04:19:41Z,hn7tDaRC930
-a7XmH5VIBU,Rep. Taylor Greene calls Democrats &#39;pedophiles&#39; on 60 Minutes,"Rep. Marjorie Taylor Greene, R-Ga., in a new '60 Minutes' interview says Democrats are pedophiles and support 'children being ...",MSNBC,2023-04-03T13:30:00Z,-a7XmH5VIBU
g6qq6lu_pHI,"Rep. Katie Porter on Clarence Thomas, PAC Money, and Working with Marjorie Taylor Greene","Rep. Katie Porter tells Stephen that she doesn't take money from lobbyists, she thinks Supreme Court Justice Clarence Thomas is ...",The Late Show with Stephen Colbert,2023-04-12T07:35:00Z,g6qq6lu_pHI
oxhlQtN4yDE,"Rep. Marjorie Taylor Greene Compares Trump Arrest To Jesus, Nelson Mandela | The View",Subscribe to our YouTube channel: http://bit.ly/2Ybi4tM MORE FROM 'THE VIEW': Full episodes: http://abcn.ws/2tl10qh Twitter: ...,The View,2023-04-05T18:00:30Z,oxhlQtN4yDE
Iq0aqTWvh8o,Rep. Marjorie Taylor Greene Takes &#39;Great Offense&#39; To Being Called White Supremacist | The View,Subscribe to our YouTube channel: http://bit.ly/2Ybi4tM MORE FROM 'THE VIEW': Full episodes: http://abcn.ws/2tl10qh Twitter: ...,The View,2023-05-19T18:00:07Z,Iq0aqTWvh8o
gSsQvSHILJQ,Marjorie Taylor Greene on heckling Biden at the State of the Union,"Rep. Marjorie Taylor Greene, R-Ga., explains why she shouted at President Biden during his State of the Union address on ...",Fox News,2023-02-09T04:15:15Z,gSsQvSHILJQ
UzEZZWGWh5E,60 Minutes Interviews Marjorie Taylor Greene,60 Minutes is coming under attack as it airs interview with Marjorie Taylor Greene. David does The News: Topics: 00:00 Marjorie ...,David Feldman,2023-04-02T17:04:30Z,UzEZZWGWh5E
QKbkee_nkIM,Marjorie Taylor Greene Personally Attacks Eric Swalwell During Hearing,Rep. Marjorie Taylor Greene makes deranged claim about Rep. Eric Swalwell during a Congressional hearing. Ana Kasparian ...,The Young Turks,2023-04-21T04:15:02Z,QKbkee_nkIM
wpmhaC4SFRg,Green New Deal is a ‘disaster for America’: Marjorie Taylor Greene,"Rep. Michael Waltz, R-Fla., and Rep. Marjorie Taylor Greene, R-Ga., discuss the 'very conservative' defense bill, whether it will ...",Fox News,2023-09-18T03:00:24Z,wpmhaC4SFRg
bs3WnZ5bFFM,"Marjorie Taylor Greene Admits Parkland Shooting Happened, Defends Confronting David Hogg","Rep. Marjorie Taylor Greene admitted in an interview that school shootings, such as the one that occurred at Marjory Stoneman ...",MSNBC,2021-02-01T21:32:01Z,bs3WnZ5bFFM
rBkkw8f2GeA,Marjorie Taylor Greene Abandons Q-Anon in Nutty Interview,Radical Republican Congresswoman Marjorie Taylor Greene appears to abandon Q-Anon as she tries to rebrand herself now ...,David Pakman Show,2023-01-15T21:00:17Z,rBkkw8f2GeA
uyUMfgXPQaE,Marjorie Taylor Greene: Impeachment is fully in order,"Rep. Marjorie Taylor Greene, R-Ga., and Rep. Andy Biggs, R-Ariz., joined 'Sunday Morning Futures' to discuss the latest on the ...",Fox News,2023-06-18T20:00:15Z,uyUMfgXPQaE
