videoId,title,description,channelTitle,publishedAt,videoId
_dzqrdHVE2g,AOC slams Ted Yoho&#39;s explanation of foul-mouthed confrontation,Rep. Alexandria Ocasio-Cortez (D-N.Y.) decried July 23 remarks from Rep. Ted Yoho (R-Fla.) in which he referenced his wife and ...,Washington Post,2020-07-23T17:58:50Z,_dzqrdHVE2g
2iHa8MUpP5o,"Alexandria Ocasio-Cortez, explained | With Chris Cillizza","She's well-known, outspoken and a rising star of the Democratic Party. Here's why ... SOURCES AND FURTHER READING: 1 ...",CNN,2019-02-07T16:22:44Z,2iHa8MUpP5o
vVywoNqtwE4,"Billionaire Activist: AOC Is The Centrist, Not Howard Schultz | The Beat With Ari Melber | MSNBC","New member of Congress, Alexandria Ocasio-Cortez is having a huge impact on political discourse and the Democratic party, ...",MSNBC,2019-01-31T01:36:16Z,vVywoNqtwE4
Mg5d6Mz_luI,Alexandria Ocasio-Cortez On What Makes Her Different From President Donald Trump | All In | MSNBC,"Alexandria Ocasio-Cortez on why her movement is not the “Tea Party of the left,” but rather a “return to American representative ...",MSNBC,2019-03-30T01:59:24Z,Mg5d6Mz_luI
CKOPooTwXEo,Newcomer Alexandria Ocasio-Cortez Beats Democrat Rep. Joe Crowley In Primary | The 11th Hour | MSNBC,Capitol Hill veteran Rep. Joe Crowley (D-NY) suffered a seismic defeat from his left by political newcomer Alexandria ...,MSNBC,2018-06-27T05:07:38Z,CKOPooTwXEo
kitfFtrUWFE,Rep. Ocasio-Cortez: Facebook Disinformation Is &quot;Extraordinarily Concerning&quot; | The Last Word | MSNBC,Rep. Ocasio-Cortez questioned Mark Zuckerberg on why Facebook refuses to fact-check political advertising. Rep. Ocasio-Cortez ...,MSNBC,2019-10-25T06:08:22Z,kitfFtrUWFE
70vteacsp6U,Anthony Kennedy &amp; Alexandria Ocasio-Cortez Rock the Political World | The Daily Show,"Alexandria Ocasio-Cortez beats out a 10-term Democratic congressman in a New York primary, and Justice Anthony Kennedy ...",The Daily Show,2018-06-28T02:04:16Z,70vteacsp6U
