videoId,title,description,channelTitle,publishedAt,videoId
ORsLZkwtPEU,Vivek Ramaswamy says he’s not ‘surprised’ by his rise in polls: GOP is ‘hungry’ for unity,NBC News Correspondent Dasha Burns joins Meet the Press NOW to discuss her one-on-one interview with GOP presidential ...,NBC News,2023-09-21T22:30:05Z,ORsLZkwtPEU
d4r4jjixqdo,Ramaswamy defends comments about White supremacy and the KKK,2024 presidential candidate Vivek Ramaswamy joins CNN's Dana Bash to defend recent comments about White supremacy and ...,CNN,2023-08-28T01:13:42Z,d4r4jjixqdo
tL9Sp3REU0k,Republican Presidential candidate Ramaswamy’s controversial views on foreign policy &amp; climate change,MSNBC's Symone Sanders-Townsend presses Vivek Ramaswamy on his claim that the U.S. needs to “abandon cult of climate ...,MSNBC,2023-08-19T21:45:01Z,tL9Sp3REU0k
AVlLE-nw_WU,Biotech entrepreneur Vivek Ramaswamy running for President in 2024 | FULL INTERVIEW,Local 5's Connor O'Neal met with biotech entrepreneur and Republican presidential candidate Vivek Ramaswamy at the Iowa ...,We Are Iowa Local 5 News,2023-08-26T20:45:46Z,AVlLE-nw_WU
OKNKe1GLi_0,Vivek Ramaswamy: I don’t think Biden is running the country,GOP presidential candidate Vivek Ramaswamy discusses whether President Biden will be the 2024 Democratic nominee on ...,Fox News,2023-09-21T03:15:01Z,OKNKe1GLi_0
fcihweIYgiE,Full Vivek Ramaswamy: I stand by calling Trump a &#39;sore loser&#39; in 2020,Republican presidential candidate Vivek Ramaswamy joins Meet the Press to address the racially motivated shooting in ...,NBC News,2023-08-27T16:30:13Z,fcihweIYgiE
kCxu8O5fa7w,"Full 2024 candidate Ramaswamy: ‘What we really need is a courageous leader,’ not Trump or DeSantis","Republican Vivek Ramaswamy joins Meet the Press NOW to detail his run for president, and talks about his pledge to end ...",NBC News,2023-03-30T22:30:04Z,kCxu8O5fa7w
S6LOSyXPvIM,Vivek Ramaswamy: This is how we restore the integrity of our Constitutional Republic,2024 GOP presidential candidate Vivek Ramaswamy provides insight on his vision for America on 'Kudlow.' Subscribe to Fox ...,Fox Business,2023-09-13T00:00:07Z,S6LOSyXPvIM
iMR9-0jHSy8,Collins presses GOP 2024 hopeful on his definition of &#39;woke&#39;,"GOP 2024 presidential candidate Vivek Ramaswamy joins CNN's Kaitlan Collins to discuss his definition of ""woke"" and how he's ...",CNN,2023-03-12T19:00:17Z,iMR9-0jHSy8
4qADG5fFiog,Vivek Ramaswamy: There is a crisis of fatherlessness,"2024 presidential candidate Vivek Ramaswamy breaks down his conservative agenda, looks back on first debate on 'Kudlow.",Fox Business,2023-08-24T22:00:02Z,4qADG5fFiog
iprmiWtncSg,How newcomer Vivek Ramaswamy is winning over some Trump fans,"CNN's Elle Reeve went to the Turning Point action conference in West Palm Beach, Florida, and asked people how they feel ...",CNN,2023-07-26T02:30:30Z,iprmiWtncSg
JOIqj-wi7A4,Dana Bash presses Vivek Ramaswamy on his Ukraine comments from debate,"CNN's Dana Bash speaks with Vivek Ramaswamy after the first Republican presidential debate, which aired on Fox News. #CNN ...",CNN,2023-08-24T04:52:51Z,JOIqj-wi7A4
qpEP9MLtme4,Full Ramaswamy: GOP has to &#39;be the party of free speech and open debate’,"In an exclusive interview with Meet the Press, 2024 GOP presidential primary candidate Vivek Ramaswamy discusses his ...",NBC News,2023-04-30T20:30:02Z,qpEP9MLtme4
bYMCdhjdz_M,Ramaswamy: Young people are &#39;hungry for purpose and meaning&#39;,2024 GOP hopeful Vivek Ramaswamy is surging to 3rd place in the polls. He detailed why young voters should support him and ...,NBC News,2023-07-26T00:15:02Z,bYMCdhjdz_M
8Ca_9tXO4og,Vivek Ramaswamy: The neocons have failed,"Republican presidential candidate Vivek Ramaswamy on the need to break the Russia and China alliance, demand transparency ...",Fox News,2023-09-06T18:45:00Z,8Ca_9tXO4og
wwoAF_l9LNs,Vivek Ramaswamy reveals his top goal for America,Republican presidential candidate explains why he would pardon Trump if elected and defends criticism of his foreign policy ...,Fox News,2023-08-25T16:30:16Z,wwoAF_l9LNs
r3aqcQtWxgI,We need to ‘wake up’: Vivek Ramaswamy,"GOP 2024 presidential candidate Vivek Ramaswamy discusses trailing President Biden in polls, his climate change position, the ...",Fox News,2023-09-08T14:45:03Z,r3aqcQtWxgI
hbKqYNYkvVQ,Trump is facing new charges. Would Ramaswamy still pardon him if president?,"American entrepreneur and GOP presidential candidate Vivek Ramaswamy, tells CNN's Kasie Hunt why he plans to pardon ...",CNN,2023-07-30T16:30:07Z,hbKqYNYkvVQ
TiR_Zl7bRSE,GOP hopeful Vivek Ramaswamy rises in the polls | The Hill,"AS GOP hopefuls race to catch up with former President Donald Trump, candidate Vivek Ramaswamy is gaining momentum.",NewsNation,2023-08-16T01:09:26Z,TiR_Zl7bRSE
CfN9iFOT2tc,Vivek Ramaswamy: We need a generational change in the US,2024 GOP presidential candidate Vivek Ramaswamy explains how lawmakers should respond to violent crime on 'The Ingraham ...,Fox News,2023-09-01T10:00:08Z,CfN9iFOT2tc
