videoId,title,description,channelTitle,publishedAt,videoId
Jv5pGTG_Kjc,"J.D Vance, Best-Selling Author Opens Up About His Painful Childhood And The Future Ahead | NBC News","From a troubled childhood in the rust belt to success in Silicon Valley, J.D. Vance, best-selling author of ""Hillbilly Elegy"" opens up ...",NBC News,2017-06-26T15:12:38Z,Jv5pGTG_Kjc
UmWi2Azthy4,J.D. Vance on Hillbilly Elegy: A Memoir of Family and Culture in Crisis - Full interview | VIEWPOINT,Can someone from Appalachia become upwardly mobile? Is it a disadvantage to have a southern accent in American society?,American Enterprise Institute,2016-11-18T17:02:36Z,UmWi2Azthy4
iEy-xTbcr2A,America&#39;s forgotten working class | J.D. Vance,"J.D. Vance grew up in a small, poor city in the Rust Belt of southern Ohio, where he had a front-row seat to many of the social ills ...",TED,2016-10-17T15:16:06Z,iEy-xTbcr2A
Uct73gDoHmg,21 News Interview with Senator JD Vance,21 News Interview with Senator JD Vance.,WFMJ,2023-09-15T04:00:27Z,Uct73gDoHmg
fgWVsVQ_vIQ,JD Vance: The DOJ going after Trump is ‘insane’,"Sen. JD Vance, R-Ohio, shares why he is threatening to block President Biden's DOJ nominees on 'The Ingraham Angle.",Fox News,2023-06-14T08:00:16Z,fgWVsVQ_vIQ
goIXwx-XOjo,J.D. Vance Senate run focuses on US economic issues and ‘culture war’,"Ohio Senate candidate and author J.D. Vance on his Senate run, Big Tech and his growing concerns about China. #FOXBusiness ...",Fox Business,2021-07-07T13:45:01Z,goIXwx-XOjo
CHzxd9LxMEU,Ohio U.S. Senate candidates Rep. Tim Ryan and J.D. Vance clash in debate,CBS News reporter Sarah Ewall-Wice joins Anne-Marie Green and Nancy Chen to discuss Monday night's debate between Ohio ...,CBS News,2022-10-11T16:27:36Z,CHzxd9LxMEU
oqT6Gs5fi4E,"Yahoo News Now: Author J.D. Vance on his book, Trump, and the &#39;alt-right&#39; movement","On Friday, Sept. 2, 2016, Yahoo News Guest Anchor Stephanie Sy talks with author J.D. Vance about his best-selling book, ...",Yahoo,2016-09-15T22:48:22Z,oqT6Gs5fi4E
aJlTIqqeLM4,What is a hillbilly? | VIEWPOINT,"J.D. Vance, author of ""Hillbilly Elegy"", defines the term ""hillbilly"" and its connection to the culture of Appalachia. Subscribe to AEI's ...",American Enterprise Institute,2016-11-17T19:56:52Z,aJlTIqqeLM4
yFhMuT7_IZw,Ohio train derailment: Sen. J. D. Vance addresses Senate committee,"Nearly five weeks since the toxic Ohio train derailment happened in East Palestine, political leaders are addressing the Senate.",WKYC Channel 3,2023-03-09T16:12:37Z,yFhMuT7_IZw
6ky2XWpbC1w,"JD Vance speaks with 2 NEWS on mass shootings, general election",Read more: https://www.wdtn.com/news/jd-vance-speaks-with-2-news-on-mass-shootings-general-election/,WDTNTV,2022-06-01T23:44:52Z,6ky2XWpbC1w
_fEf8-ed6ws,Ohio Senate candidates Tim Ryan and J.D. Vance address issues in town hall,Ohio's U.S. Senate candidates took to the stage in a town hall Tuesday hosted by Fox News. Rep. Tim Ryan and J.D. Vance ...,CBS News,2022-11-02T16:48:31Z,_fEf8-ed6ws
u7x4OEzT7GU,Tucker talks class in the US with &#39;Hillbilly Elegy&#39; author,Check out JD Vance's full interview on “Tucker Carlson Today” here on Fox Nation: https://bit.ly/2QgDsyF Give Fox Nation a try!,Fox News,2021-04-11T01:00:07Z,u7x4OEzT7GU
i0cBw-8WP5E,Ohio Senate Debate: JD Vance takes on Tim Ryan on FOX 8 Oct 10,"We are counting down to the first statewide debate for the Ohio senate seat. JD Vance and Tim Ryan will square off Monday, ...",FOX 8 News Cleveland,2022-10-10T16:51:04Z,i0cBw-8WP5E
D_o7GHh6jQY,JD Vance puts an end to defensive candidates in latest debate,"U.S. Senate candidate JD Vance, R-Ohio, reflects on his recent debate against Ohio Rep. Tim Ryan ahead of November's ...",Fox News,2022-10-12T07:15:00Z,D_o7GHh6jQY
r9bnufghHZw,JD Vance makes &#39;big&#39; announcement on &#39;Tucker Carlson Tonight&#39;,Ohio Republican candidate slams 'establishment Republicans' for being out of touch. #FoxNews #Tucker Subscribe to Fox News!,Fox News,2021-07-02T03:30:18Z,r9bnufghHZw
OeGTN53Gh-Y,Vance wins Ohio GOP Senate Primary  |  NewsNation Prime,"The results are in tonight, Trump-backed candidate JD Vance wins the Ohio GOP Senate Primary. Read more: ...",NewsNation,2022-05-04T03:32:39Z,OeGTN53Gh-Y
1tU1KDIZats,"Ohio Senate debate with Ryan, Vance descends into attacks | Morning in America","The first debate between Democratic U.S. Rep. Tim Ryan and Republican JD Vance descended quickly into attacks Monday, with ...",NewsNation,2022-10-11T11:47:30Z,1tU1KDIZats
