videoId,title,description,channelTitle,publishedAt,videoId
YbrwIE_GhrM,President Obama Announces Osama Bin Laden Killed in Pakistan,"For more, visit http://www.pbs.org/newshour President Obama told the nation Sunday night that Osama bin Laden, long-hunted ...",PBS NewsHour,2011-05-02T04:26:13Z,YbrwIE_GhrM
xe_nJRpaNl4,President Obama on the Situation in Libya,The President says that his Administration and the international community are united in their insistence that Libya refrain from ...,The Obama White House,2011-02-23T22:40:47Z,xe_nJRpaNl4
fZpveqd-x6Q,The President&#39;s First Cabinet Meeting,"The President sets his priorities for his Cabinet in their first meeting, making clear that relentlessly cutting out waste is part and ...",The Obama White House,2009-04-20T21:04:51Z,fZpveqd-x6Q
idqnFKQNHdc,President Obama&#39;s Bilateral Meeting with President Vladimir Putin of Russia,"President Obama and President Vladimir Putin of Russia speak to the press after a bilateral meeting in Lough Erne, Northern ...",The Obama White House,2013-06-18T02:38:22Z,idqnFKQNHdc
geqTT14AXwE,President Obama&#39;s Statement on Libya,The President says that the United States stands ready to act as part of an international coalition if Moammar Qaddafi does not ...,The Obama White House,2011-03-18T19:22:36Z,geqTT14AXwE
BjYhSEzTGjM,President Obama Meets with the Prime Minister of Ethiopia,"On September 25, 2014, President Obama delivered remarks at a bilateral meeting with Prime Minister Hailermariam Desalegn of ...",The Obama White House,2014-09-25T20:04:12Z,BjYhSEzTGjM
iCuab1fP7vY,President Obama&#39;s Bilateral Meeting with Prime Minister Nawaz Sharif of Pakistan,"President Obama and Prime Minister Nawaz Sharif of Pakistan speak to the press after a bilateral meeting. October 23, 2013.",The Obama White House,2013-10-24T00:40:44Z,iCuab1fP7vY
j4BfmeuD_DU,President Obama Announces Josh Earnest Will Replace Jay Carney,"During the White House Press Briefing, the President announces that current Deputy Press Secretary Josh Earnest will replace ...",The Obama White House,2014-05-30T19:52:34Z,j4BfmeuD_DU
DnECH_bbIhI,President Obama Speaks at an Official Dinner in Tanzania,"At a dinner hosted in honor of the President and First Lady's visit to Tanzania, President Obama offers a toast to President Kikwete ...",The Obama White House,2013-07-02T17:23:43Z,DnECH_bbIhI
yXq8rz7bNLU,President Obama&#39;s Bilateral Meeting with Prime Minister Gilani of Pakistan,President Obama and Prime Minister Yousaf Raza Gilani of Pakistan speak to the press before a bilateral meeting on areas of ...,The Obama White House,2012-03-27T17:29:49Z,yXq8rz7bNLU
G9Z7tdukQuo,President Obama on Ending War in Iraq,President Obama fulfills a promise to the American people by announcing all troops will be withdrawn from Iraq by the end of the ...,The Obama White House,2011-10-21T17:53:21Z,G9Z7tdukQuo
