videoId,channelTitle,description,publishedAt,title
2kBps7DsLTQ,Forbes Breaking News,"Former President Donald Trump spoke at a campaign rally in Summerville, South Carolina Fuel your success with Forbes.",2023-09-25T20:49:58Z,BREAKING NEWS: Donald Trump Unleashes On Biden Administration During South Carolina Campaign Rally
TOFUIi008CA,Sky News,"Watch in full: Former U.S. President Donald Trump delivers a speech in Summerville, South Carolina The speech comes as recent ...",2023-09-25T19:39:49Z,Donald Trump campaign speech in South Carolina
hb6wDFQvFeU,CNN-News18,Trump Speech Live | Donald Trump Delivers Speech At Alabama GOP Dinner | Trump In Alabama Live DISCLAIMER: This video ...,2023-08-05T12:50:46Z,Trump Speech Live | Donald Trump Delivers Speech At Alabama GOP Dinner | Trump In Alabama Live
6l7CQLmYXhs,CNN-News18,DISCLAIMER: This video may contain allegations that are factually questionable or cannot be independently confirmed by CNN ...,2023-07-12T15:10:10Z,Trump Speech Live | Donald Trump Rally | Trump Speech Live At Iowa Rally | US News Live | U.S News
pf75Qgw9MxA,Sky News,Former US President Donald Trump speaks at Grand River Center in Iowa. Read more on Trump ...,2023-09-20T21:51:49Z,Trump speaks at Grand River Center in Iowa
GkXKYwoyeAw,Sky News,"Former US President and Republican presidential candidate in the 2024 elections, Donald Trump, addresses the crowds in ...",2023-06-10T21:50:19Z,Donald Trump delivers a speech in Georgia
S6IxjF9ocD0,CNN-News18,DISCLAIMER: This video may contain allegations that are factually questionable or cannot be independently confirmed by CNN ...,2023-08-10T12:49:53Z,Donald Trump Hampshire Speech Live | Trump Speech LIVE | Donald Trump Rally Address LIVE | U.S. News
DzpehFlG4Yk,The Times and The Sunday Times,"Donald Trump is set to deliver his presidential campaign speech in Dubuque, Iowa. The former president has said he likes the ...",2023-09-20T21:51:07Z,LIVE: Donald Trump delivers campaign speech in Iowa
Z9njMgVbljI,CNN-News18,Donald Trump Speech LIVE News | Donald Trump Slams Rivals In Hampshire Rally| Donald Trump News DISCLAIMER: This ...,2023-08-15T11:52:15Z,Donald Trump Speech LIVE News | Donald Trump Slams Rivals In Hampshire Rally| Donald Trump News
e1ybKpY0p_4,CNN-News18,DISCLAIMER: This video may contain allegations that are factually questionable or cannot be independently confirmed by CNN ...,2023-09-17T00:21:39Z,Donald Trump Speech | Trump Addresses Pray Vote Stand Summit |Trump News LIVE |Trump Vs Biden | N18L
uaOL7A1nONw,Forbes Breaking News,"Former President Trump speaks to the Concerned Women for America Summit in Washington, D.C., after Special Counsel Jack ...",2023-09-16T01:15:04Z,BREAKING NEWS: Trump Speaks At Conservative Summit After Jack Smith Requests Gag Order Over Him
